# FILE DATA
ID : MDRW2100026666
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 진짜 이쁜데 문제는 이거 콜라보케이스가 여러개잖아요
P1 	: 그걸 다 쓰진 않는데 묶어서 파니까ㅋㅋ
P1 	: 좀 애매...
P1 	: 그리고 정품 클리어케이스 넘 두껍고 못생겼어요
P0 	: 앗.. ㅋㅋㅋ
P0 	: 콜라보케이스 예쁘긴한데 한정판이면 더 달려들어서 샀을것 같아요
P0 	: 예쁘긴해도 너도쓰고 나도 쓰면 뭔가 희소성없는 느낌이라
P0 	: 플립 악세사리 시장은 엄청 커질듯한 예감이 들어요 ㅋㅋ
P1 	: 콜라보템들 이쁘긴한데 약간 실사용하긴 애매한 브랜드가 많아서
P1 	: 사람들이 죄다 사는게 겹치는 느낌??
P1 	: 그래도 저는 살거지만요... 이쁘긴함..
P0 	: 제가 플립사용자라도 이쁜건 다 모아둘거 같아요
P0 	: 무조건 무조건입니다 ㅋㅋㅋ
P1 	: 노티드.. 사고 싶은데 다들 살 것 같긴해요ㅋㅋ
P1 	: 그치만 버즈2 악세랑 세트니까 이건 사야만!!
P0 	: 다음엔 기필코 사전예약으로 사고말리..
P0 	: 제 폰도 사전예약 끝나고 샀거든요 ㅠㅠ
P0 	: 그때샀다면... ㅠㅠ
P1 	: 사전예약 전 이번에 처음 해봤는데
P1 	: 버즈... 줘서 좋아요ㅋㅋㅋㅋㅋ
P0 	: 그쵸
P0 	: 저는 폰 살생각없었는데 망가지면서 사게됐어요ㅠㅠㅠ
P1 	: 사실 폰 상태 좋았는데 일부러 사전예약 했습니다
P1 	: ㅎㅎ
P0 	: 사전예약 하는거 보면서도 아무생각없었는데ㅜ
P1 	: 난 이번에도 뭐 많이 팔리겠어? 이랬는데 대박나서 좀 얼떨떨...
P0 	: ㅎㅎㅎ 플립쓰는 친구폰보면 중간에 선 가있구 장난감처럼 보이긴했거든오
P0 	: 근데 확실히 이번에 잘 빠지긴한거같아요
P1 	: 디자인 하나 잘뽑으면 성능이 중간만 되도 잘되는 사례 하나 나온듯요ㅋㅋㅋ
P0 	: 마케팅도 잘했어욯ㅎㅎ 투명커버 diy
P1 	: 저 스티커
P1 	: 5만원치 샀어요
P1 	: 배보다 배꼽이 더 큼ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
