# FILE DATA
ID : MDRW2100018206
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 아 근데 저 해주고싶은 말 있어요
P0 	: 결혼하면 이제 집 구하자나여
P0 	: 그 직전달에 원천징수 수입을 최대한 줄이세여....
P1 	: 오....
P0 	: ^^ 큰코다쳤어요
P1 	: 헐 저 암것도 몰라요
P1 	: 원천징수 수입 높으면 어케돼여..?
P0 	: 매매도 보금자리론이 가능하고
P0 	: 물론 이건 여러 조건이 더 있지만 주택 가격이라덩가...
P0 	: 전세 가더라도
P0 	: 신혼전세대출이 되는데
P0 	: 모든 것에 소득제한이 따라요
P1 	: 오호
P1 	: 아이고이런
P0 	: 저는 남친이랑 둘다 공무원인데
P1 	: 우와 멋져요
P0 	: 연금이랑 공제회때문에
P0 	: 실수령액은 둘다 200초라서.. 빠듯한데
P0 	: 세전이 둘 합쳐서 7천인가 넘겨가지구
P0 	: 혜택을 못받거든요
P0 	: 아니여... 저 다시 돌아가면 공뭥 안햇을거에여
P0 	: ㄹㅇ... 가성비 떨어져요 흑
P1 	: 우와 그래도 공뭔경험 살려서 책이라도 내주세요
P1 	: 헷
P1 	: 아 겸직 금지라 안되나
P0 	: 책은 되는 거 같아서
P0 	: 크몽에 전자책 도전해보려구요 연말에!
P0 	: 제가 좀 소수직렬이거듬요
P1 	: 와아아아아
P1 	: 제가 홍보할게요
P1 	: 너무멋지시다
P0 	: 우와 너무 감사하져,,다흐흑
P1 	: 맡겨만주시라구요~!
P0 	: 우린 서로이웃이니까특혜특혜
P0 	: &name2& 블로그보면
P0 	: ㄹㅇ 성공하실듯... 재테크로
P0 	: 엄청 대단해여...
P0 	: 콘텐츠도 다양하규
P1 	: 특혜 인정임돠 완전 빠방하게 공뭔준비생들한테 뿌릴게요
P1 	: 에에에에
P1 	: 감사해요!
P1 	: 열심히 하곴슴도ㅓ!
