# FILE DATA
ID : MDRW2100023244
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 그리고 지금
P0 	: 한밤중에 깨서
P0 	: 지금 당장 악신을 만나야겠다고;;;
P0 	: 아니 직장인이라며.....
P1 	: 왜???
P1 	: 아니 진짜
P0 	: 몰라 이유는 안알려줌
P1 	: 여주한테 정 안붙는게
P1 	: 남주들은 커뮤거든?
P1 	: 여주는 걍 거기 맞춰서
P1 	: 적당히 끼워만든 티나...
P0 	: ㅇㅇ 여주 캐릭터리티가
P0 	: 이랬다가 저랬다가 하니까
P0 	: 뭐... 어쩌란건지...
P1 	: ㅇㅇ
P1 	: 그런 결심을 하게 하려면
P1 	: 자기 설정값때문에 고통스러워하는 애가 있거나
P1 	: 그런거라도 있어야지
P1 	: ㅎㅏ
P1 	: 난 여성향겜이
P1 	: 여주 홀대하는 티나면
P1 	: 이입 못하는데
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 외압에 굴하지 않기엔
P0 	: 직장인은 너무 많은 풍파를 겪엇는데...
P1 	: ㅇㅇ애초에 직장인이란 설정은
P1 	: 왜 집어넣은거야
P1 	: 걍 트위터에서
P1 	: 직장에 잡혔어요 아이고도비
P1 	: 이런것만 보고
P1 	: 짠것같음
P0 	: ㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋ
P0 	: 그니까
P0 	: 낡고 지친 직장인 드립만 본듯....
P1 	: ㅇㅇ대학원생이 등장하는것도
P1 	: 비슷한 맥락으로 보여
P1 	: 그리고 제목이 신도 야근을 하나요 인 이유는
P1 	: 전혀 모르겠어
P1 	: 그런 제목일거면
P1 	: 1. 신이 됐어도 일이 너무 많다. 아 그지같다
P1 	: 2. ㅇㅏ 직장생활 엿같다 신 되면 야근이라도 안할까?
P1 	: 뭐 이런
P1 	: 맥락이랄게 있어야하는게
P1 	: 아닌가
P0 	: ㅇㅇ 그니까
P0 	: 대부분
P0 	: 2로 생각하지
P0 	: 2인줄 알고 덥썩 수락했더니 사실 1이었다
P0 	: 이정도로 가벼운 스토리를 생각하지
P1 	: ㅇㅇ솔직히
P1 	: 나도 그랬음
P0 	: 현실과 가상 사이에서 존재를 고민하는 내용이 4챕 내내 나오길 바라는 사람이
P0 	: 어딨냐규...
P1 	: ㅇㅇ그럴거면 제목이라도 좀
P1 	: 무거웠어야지
P1 	: 제목은 거의 라노벨이야
P1 	: 난 그래서 처음엔
P1 	: 직장인인데 갑자기 신으로 이직당했다?!
P1 	: 근데 전임자의 인수인계도 없고 부하직원들은 비협조적?!
P1 	: 이런 스토릴줄
P0 	: 나도 ㅋㅋㅋㅋㅋㅋ 걍 가벼운 일상개그 연애물인줄 알았지
P0 	: 갑자기 스릴러 오컬트 게임이 될 줄은...
P1 	: ㄹㅇ....
P0 	: 오늘부터 원신 데이터 사전다운로드 가능함
