# FILE DATA
ID : MDRW2100024294
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 와 짱신기에요 몰랐어요 ㅋㅋㅋㅋㅋㅋ &name1&님은 신거 좋아하세요??
P0 	: 전 잘 못먹는답니다ㅠㅠㅋㅋㅋㅋ
P0 	: 갑자기 체리콕 먹고싶네요
P1 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋ 아 그렇다면.. 음 저말은 루머인걸로 합시다!!!!!!
P0 	: 레모네이드 말씀하셔서ㅋㅋㅋ
P0 	: 앜ㅋㅋㅋ
P1 	: 오오 저는 안먹어본거같아요 닥터페퍼같은 맛인가요?
P0 	: 움 그거랑 살딱 다른데
P0 	: 아마 드셔보신적 있으실거에용!
P0 	: 아~ 이맛! 이러실거에요ㅋㅋㅋㅋ
P0 	: 예~전에 캔모아 갔을때 자주 마셨는데ㅋㅋㅋ
P1 	: 앜ㅋㅋㅋㅋㅋㅋㅋ 아 캔모앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 저보다 언니이신것 같아요.... 저 캔모아를 안가봤거든요..... 하하하...
P1 	: 아 그래요? ㅋㅋㅋㅋ 기회있으면 사먹어볼게요!! 익숙한 맛인지 잘 음미해볼게요 ㅋㅌㅌㅋㅋㅋㅋ히히
P0 	: 아ㅋㅋㅋㅋ 요즘에두 캔모아 있어용!
P0 	: 막 거의 한곳인가 두곳밖에 안남긴 했지만....
P0 	: 여기 빙수도 유명하고
P0 	: 식빵에 생크림 발라먹는게 유행이었어요ㅎㅎ
P1 	: 아아아아아 그렇군요!?!?!!!!!! 한번 남아있는 곳 찾아가볼래요
P1 	: 식빵에 생크림 저도 유튭에서 봤어요 ㅋㅋㅋㅋ
P1 	: 식빵? 토스트? 무한리필이었다고 들었어요
P1 	: 그리고 막 흔들그네같은거 있었다고 들었던것 같은데.. 맞나요?
P0 	: 오오 맞아요! 지금은 한번 리필할때마다 추가금이 붙는다고 하더라구요ㅎㅎ
P1 	: 오오..ㅠㅠ 예전에 많이 갔던 사람은 가슴아프겠어요.. 추가금이라니...
P1 	: 와 근데 식빵에 생크림.. 아 침고여요
P0 	: 이런것도 다 추억인것같아요ㅎㅎ
P1 	: 낼 식빵사올래요 ㅋㅋㅋㅋㅋ
P0 	: 토스트기에 식빵 갓 구워서 생크림
P0 	: 바르면
P0 	: 얼마나 맛있게요!'ㅋㅋㅋ
