# FILE DATA
ID : MDRW2100028982
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  3
contact_frequency  :  주 3회 이상

P1 	: ㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 뭐야 갑자기 왜바뀌어요 ㅠ
P0 	: 갑자기바꼇다
P0 	: 저 방금 대패삼겹먹음
P1 	: 우와
P1 	: 전 마지막에 먹은 게 찹쌀떡이예요
P0 	: 엥
P0 	: 저녁안드셨어요?
P1 	: 모찌가게에서 엄마가 사왔어
P1 	: 과일모찌
P0 	: 모찌모찌
P1 	: 먹었죠 그런데 2시에.
P0 	: 저녁
P0 	: 먹으라고
P0 	: ~~~
P1 	: 아니 근데...
P1 	: 떡은 배불러요
P1 	: 그 찹쌀떡 큰거 3개나 먹었어요
P0 	: 지금도 배부르세요?
P1 	: 아뇨
P1 	: 그럴리가
P0 	: 그치만
P0 	: 시간이늦어서
P0 	: 못먹겠다
P1 	: 어짜피 저 야식 안먹어요
P0 	: 로제떡볶이 먹고싶다
P1 	: 야식먹으면 건강에 나빠요
P1 	: 그리고 무엇보다 저 내일 건강검진 받으러 갈거라
P0 	: 3시간 이후에 자면 저녁이잖아요
P1 	: 금식이예요
P0 	: 아
P0 	: 못먹네
P0 	: 물도 마시면 안된대요
P1 	: 그건 오전인가 그랬어요
P1 	: 저녁엔 가능한듯?
P0 	: 아하
P0 	: 저 고민이에요
P1 	: 저 물 못마시면 죽음
P1 	: 목말라서
P0 	: 배민킬때마다
P0 	: ㅋㅋㅋㅋ
P0 	: 아니
P1 	: 그럼 배민을 삭제하면 되겠다
P0 	: 뭐가나쁜말이야
P0 	: 로제떡볶이 시키구싶은데
P0 	: 안먹어본거랑
P0 	: 이미먹어봣는데
P0 	: 사진 안찍어서 블로그 못올리는거
P0 	: 중에 고민함
P1 	: 우와...
P1 	: 더 먹고싶은 순서대로 먹어요
P1 	: 어짜피 다먹을거잔아
P0 	: 그럼
P0 	: 이미 블로그에올린거먹어야됨ㅠ
P1 	: 미치겠다
P1 	: 그냥... 먹어요
P1 	: 먹고싶은걸
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 그럼 다음에 시킬게
P0 	: 로제닭볶이랑... 또 머지
P1 	: 전 이번주에만 마라탕 세 번 먹게되거든요
P0 	: 머있었는데
P0 	: 마싱ㅆ겠다
P0 	: 그럼 마라로제떡볶이랑
P0 	: 로제닭볶이중에
P0 	: 골라주세요
P1 	: 한번은 만들어먹었고 한번은 친구랑 마오차이가게갔고 나머지 한번은 토요일에 언니가 만들어준댔음
P1 	: 마라 궁금하니까 먹어주세요
P0 	: 난토요일에 중국음식 먹는데
P0 	: ㅋㅋㅋㅋ좋아요
P1 	: 전 중국음식... 느끼해서 잘 못먹어요
