# FILE DATA
ID : MDRW2100047473
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅎㅎ 원래 탄산수를 왜 마셔 이랬는데
P1 	: 혼술 즐긴 이후로는 박스째 구비해요
P1 	: 원래 술자리는 잦은 편이었나요?
P1 	: 혼술 말고요
P0 	: ㅋㅋㅋ 아니요 저는
P0 	: 알쓰라 술자리거의안가고
P0 	: 혼술을 마니하는것같긴하네요ㅋㅋㅋ
P1 	: 아ㅎ 안주발을 당기는 방법도 있는데
P1 	: 취객들 사이에선 아무래도 괴롭죠ㅎ
P1 	: 전 코로나 이후로 혼술하게 됐어요
P1 	: 그전엔 술자리가 잦은 직장이라 술이 지긋지긋했거든요ㅎㅎ
P0 	: ㅠ 헐 그럼 힘드셨겠어요
P0 	: 아무래도 코로나의 순기능으로
P0 	: 회식자리가 확줄긴했네요..
P0 	: 유지가되야될텐데말이죠
P1 	: ㅎㅎ 유일한 코로나의 순기능이죠
P1 	: 저녁 있는 삶이 됐으니까요
P0 	: 맞아요ㅋㅋㅋ 직장인들은
P0 	: 재택도하고 한편으론 좋은점이있네요
P1 	: ㅎㅎ 단비같은 재택ㅜ 몇번 안했지만 너무 좋더라고요
P1 	: 나태한 자세로 티타임 즐기면서 일하고
P0 	: ㅋㅋㅋ 오우좋네요
P0 	: 제친구는 주4가
P0 	: 재택이래요ㅋㅋㅋㅋㅋ
P1 	: ㅎㅎ 너무 부러워요ㅜㅜㅜ 그 직장이 내 직장이었어야 해
P1 	: 근데 재택하니 하루종일 먹는 단점이ㅎㅎ
P0 	: ㅋㅋㅋ 코로나로
P0 	: 살찌신분들이 꽤되더라고요ㅠ
P1 	: 코로나 이후 배달음식 주문이 최소 다섯배는 뛰었더라고요 ㅜ
P1 	: 배민에 위자료 청구해야 함ㅜ
P0 	: 헐
P0 	: 5배요??ㅈ
P0 	: 진짜로요?
P1 	: 네. 일단 제 주문내역을 보면요ㅜ
