# FILE DATA
ID : MDRW2100025038
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 그쪽 가시면
P0 	: 미쓰리 햄버거라고 있는데
P0 	: 거기도 타지사람들이 많이 찾아가더라고요
P1 	: 오
P1 	: 나중에 갈일있으면 꼭 들러봐야겠어요
P1 	: 와 비주얼이 진짜 맛있어보이는데요
P0 	: &name2&님의 지역은
P0 	: 무슨 음식이 유명한가여?
P1 	: 저는 서울인데
P0 	: 앗
P1 	: 유명한집이별로없는동네사
P1 	: 완전 거주지역인지라
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅠㅠ저도 나가서먹어요
P0 	: 서울 어디세여?
P1 	: 서울 강동쪽이요
P0 	: 오우옹
P1 	: 강동과 &address&동 어드매의
P0 	: 제 사촌동생 &address&역 살아요
P0 	: &address&역산다니까 노숙자같네 &address&역근처 살아여
P1 	: 오저희할머니댁이
P1 	: 그근처에요
P0 	: 오오
P1 	: &address&랑 조금 차이가있긴한데
P0 	: 근데 서울엔
P0 	: 맛있는 거 다 있잖아요!!!!!
P1 	: 거기도어마무시한 주거지역이라
P1 	: ㅋㅋㅋㅋㅋㅋ동네에없어서
P1 	: 버스타고 시내나가서먹어야하는....
