# FILE DATA
ID : MDRW2100027268
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오 합창부 !
P0 	: 철봉에 매달리기 하고 귀가하던 루틴이 있어서
P0 	: 넹넹 이상하게 그게 제 습관이었어요
P0 	: 그걸 3년 하니 팔힘은 최상위급입니다ㅎㅎ
P0 	: 사람들이 저랑 팔씨름하면 다 놀라더라구용ㅎ
P1 	: 와
P1 	: 팔씨름 대장이셧네요
P0 	: 근데 오직 매달리기만 가능ㅎ 돌기 안돼요
P1 	: 한번 잡아보고싶네요
P1 	: 매달리기 얼마나 하심?
P0 	: 대학생 때까지 그랬죠ㅎ
P0 	: 철봉 체력장은 매년 만점이었어요!
P0 	: 아닠 잠깐만요
P0 	: 자아, 오늘 점심은 뭐 드실건가요ㅋㅋ
P1 	: 아 식음료
P1 	: 음 오늘은 물회를 먹어보겠습니다
P0 	: 건강 찾다 노란거보고 깜짝
P0 	: 헉! JMT!!!
P1 	: 창원에 귀산동이라고 있거든요 거기 물회맛집이 있습니다
P0 	: 저도 회 먹을 거예요!
P1 	: 선배님들 모시고 가려구요
P0 	: 오오 뭐뭐 들어가나요
P1 	: 저도 잘 모릅니다 ㅋㅋ
P1 	: 선배들 추천이라
P1 	: 갔다와서
P1 	: 말씀드릴게요
P1 	: 님처럼 스패셜은 아니고 그냥 일반 물회일겁니다
P1 	: 다금바리 노노
P0 	: ㅎㅎ아닠 다금바리 들어가면 가격 얼마인가요ㅎ
