# FILE DATA
ID : MDRW2100040324
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오오 ㅋㅋㅋㅋ 냉면이랑 비슷한 면이 있네요!
P1 	: 밀면도 배달 해주죠? 혹시 돼지국밥도 좋아하시나요? 부산 하면 그게 가장 먼저 생각이 나서요!
P0 	: 네네 배달해줘요!  밀면 돼지국밥 같이파는 맛집도있어요ㅋㅋㅋ
	  국밥도환장합니다 @.@)/ 흐흐
	  밀면 좋아해서 냉면은 별로 안좋아해요../ㅁ\
P0 	: 그 지역엔 맛있는거 모있나용!
P1 	: 아 요긴 서울인데 서울엔 다 모여있어서...지역 특색은 모르겠어요!ㅋㅋㅋㅋㅋㅋ
P1 	: 밀면 국밥 같이 하다니 의외이기도 하네요?! 뜨겁고 차갑고!ㅋㅋㅋㅋㅋ
P0 	: 네ㅋㅋㅋ그래도 역시 하나만하는집이 맛있긴해요..ㅋㅋㅋ
	  아 서울 !!  
	  서울은진짜없는게없잖아요 .... 최고....
P0 	: 눈돌아가요..@ㅁ@....
P1 	: 어느집이든 메뉴 많은 집보단 적은게 정통성 있다고 해야할지..잘 하더라구요!ㅋㅋㅋ 기분 탓인지...???
P1 	: 요샌 서울에만 있는 그런것보단 타 지역 프랜차이즈도 오고 그래서...
P1 	: 부산 옵스도 서울에도 생기고! ㅋㅋㅋ 부산에만 있는 프랜차이즈도 있죠?!
P0 	: 있을거 같은데 잘은 몰라요! ㅋㅋㅋ잘돌아다닌다거나 검색해보지않아가지구..
	  서울은 진짜 없는게없어서 
	  가끔 놀러가서 밥먹을일 있으면
	  부산에없는데가서 먹어야하는데!!!  막그러구 돌아다니구ㅋㅋㅋ
P0 	: 서울 짱..
P0 	: ㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋ 맞아요 알거 같아욬ㅋㅋ 저도 서울 말고 타 지역 가면 여기만 있는거 먹어야지!!! 하거든욬ㅋㅋㅋ
P0 	: 그러고보니 저아직도쉑쉑버거안먹어봣어요..
	  ㅋㅋㅋㅋㅋㅋ
	  부산에생기면 꼭가야지!  이랫거든요?!  근데 줄선거보고 마음 접었잖아요.. 어찌나긴지..
	  지금은 줄안서는데도 이때까지안먹구있습니다...ㅋㅋㅋㅋ
P1 	: 앗 ㅠㅠㅋㅋㅋㅋ 쉑쉑 줄 엄청 나죠... 저도 오픈때 뉴스 보고 놀랐어욬ㅋㅋㅋ 다행히도 전 근처에 매장이 생겨서 먹고 싶을때 줄 안 서고..히히 ㅋㅋ 부산은 아직 한개 지점인가요~?
P1 	: 부산점도 혹시 한정메뉴 있나요? 매장마다 한정메뉴 같은게 있는거 같더라구요
P0 	: 한개맞을거예요ㅋㅋㅋ서면에 진짜 좋은 위치에있어서 인기짱입니다
	  헐 매장마다그런것도있어요??!!  헐랭
P1 	: 넹ㅋㅋ 버거는 모르겠는데 디저트가 한정인게 있는거 같더라구요?????
P1 	: 가서 사진 찍기도 좋고 막 그런가요?!ㅋㅋㅋ 핫플 생기면 사진 찍어야져....
P0 	: 와 한정이있다니 너무신기합니다ㅋㅋㄱ
	  그앞에나름꾸며놓긴했는데
	  그냥번화가니까 크게 뭐 사진 찍을 느낌은아니예요ㅋㅋㅋ
	  그리구가격이사악하대서 멈칫한이유도 있습니다..
P1 	: 아 진짜 쉑쉑 가격이 만만하진 않더라구요 두갠가 사먹었는데 4만원 막 넘고...ㅠㅠ 쉑쉑 빵이 맛있었어요ㅋㅋㅋ 전엔 근처에 생기면 좋겠다 했는데 막상 생기니까 잘 안 가게 되더라구요 가격이 비싸서.ㅠㅠㅋㅋㅋㅋㅋㅋ
P0 	: 큰맘먹고가야하는곳맞네요
	  헐4만원..ㅋㅋ..쎄요ㅜㅜ
