# FILE DATA
ID : MDRW2100014097
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 주지훈이면 진짜
P0 	: 얼굴이랑 몸이랑 둘다 보시네요
P0 	: 찾아보니
P0 	: 이런 양심없는 인간
P1 	: 제 최애연예인 중 주지훈 이동욱은 최상위군...
P1 	: ㅋㅋㅋㅋㅋㅋㄲ
P1 	: 전 얼굴만보는데 덤으로 몸까지 좋은거죠!!
P0 	: 저는 성격만 보는데 그런사람들이 얼굴도 이쁘더라구요
P1 	: ㅋㅋㄱ뭔가...내가 쓰레기가 된 기분이지 왜
P0 	: 아녀요 아녀요
P0 	: 이상형은 다 있응께
P0 	: 저는 진짜 좋아하는 스타일은 블핑 지수
P1 	: ㅋㅋㅋㅋㅋ그 다음이 악뮤 이수현?
P1 	: 지수 이쁘죠 엄청ㅜ
P0 	: 누님 연예인 누구 닮았단 소리 들어봤어요?
P1 	: 음...김고은이여..?
P1 	: 닮기보다는 분위기가 비슷해서...?
P1 	: 무쌍이고 하다보니ㅋㅋ
P1 	: &name1&은 김리......?
P0 	: 전형적으로 주지훈 좋아할 상이시네요
P1 	: ㅋㅋㅋㅋㅋㅋ왜죠
P0 	: 관상이 그런 상입니다
P1 	: &name1&은 누구닮았다고 들었나여
P0 	: 저는 제가 변요한 스타일이라고 생각하는데
P0 	: 여자친구가 고창석이래요
P1 	: 아하 김리...고창석....
P1 	: 혹시...
P0 	: 변요한이라고 불러주세요
P0 	: 요환인가
P1 	: 양궁 오진혁선수도 닮았다고 들었나요...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 변요한이에여
P0 	: 너무하시네 진짜
P0 	: 변요한닮았습니다
P1 	: ㅋㅋㅋㅋㅋ니예니예...
P0 	: 저 근데 진짜 곰상은 아니고
P0 	: 살찌기전엔 임슬옹 닮았댔어요
P1 	: 아 뭔지 알 거같아요
P1 	: 임슬옹이 살찌면 고창석이 되는건가...
P0 	: 쒸익쒸익
P0 	: 변요한입니다
P1 	: 갑자기 이진욱도 생각나네요
P1 	: 이진욱도 참 잘생겼는데
