# FILE DATA
ID : MDRW2100026876
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 울산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>형제자매
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 저 내일 학교가는데요
P1 	: 친구가 자가격리걸려서
P0 	: 헐?? 어떡해요
P1 	: 정확히말하명 친구 동생이 1학년인데
P1 	: 확진자나와서 동생이 자가격리거든요
P1 	: 그래서 친구도 이번주만 빠진대요
P1 	: 그래서 그냥 급식 안먹고 공부나 하려구용...
P0 	: 헐랭...아 점심 안 먹는다는 뜻이
P0 	: 그런거였군용
P1 	: 네네네네
P1 	: 요즘 점심안먹는 정시러들 잇어서
P1 	: 딱히 뭐... 그냥 간식싸가지고 가려구요
P0 	: 그래두 밥은 먹지... 한국인은 밥심이자나요
P0 	: 편의점에서 뭐라도 사서 점심에 먹어여
P1 	: 저는 나나기리 학원에 다니는데요
P1 	: 그럴까요... 아침에 10분만 일찍 나가도 되는데
P1 	: 등교하기 힘들어요...졸려요...
P0 	: 앗..넵!^^
P0 	: 등교 몇시에 해용??
P1 	: 8시 20분까지요
P1 	: 근데 학교가 바로 앞이라서 10분컷가능
P0 	: 우와....8시20분
P0 	: 대박이다
P1 	: 다른 애들에 비하면 통학시간 짧은데
P1 	: 그래도 너무 힘들어용 등교싫어
P1 	: 무슨 의미에 대박이죠?? 대 학 생 씨
P0 	: 님 정말 대박인거같애요
P0 	: 저는 9시 시작인 1교시도
P0 	: 늦잠자느라 40분에 들어가고 그러는데요
P1 	: 그치만...님도 고딩때는 그럣을거 아니에요
P1 	: 대학생되면서 체력이 와장창나는거죠
P1 	: 저 지금도 계단 올라갈때 무릎에서 둑뚝소리나는데
P0 	: ...님의미래예요
P1 	: 수능끝나면 운동하려구요...
P0 	: 운동중요하죠 ..
P0 	: 글고보니 님 학교에 매점 없었나요
P0 	: 매점 없으면 전자렌지도 없겟네여
