# FILE DATA
ID : MDRW2100015804
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 너 후생관갈비알아?
P1 	: 아니 이거 제출하라는게 왜케 많아
P1 	: 다섯번은 한듯
P1 	: 어디서 파는거야?
P0 	: 후생관갈비 후생관에서 파는거
P1 	: ㅇㅇ
P0 	: 후생관 갈비얘기를 해보자
P1 	: ㅇㅇ
P0 	: 후생관갈비 들어본적있음?
P1 	: 후생관갈비 들어본적없음!
P1 	: 유명한곳이야?
P0 	: 후생관은알지?
P1 	: 응응
P0 	: 후생관이 약간 마트같은거잖아 거기 갈비를 파는데 유명하데
P1 	: 오 먹어보고싶다
P1 	: 은근 갈비맛있는곳이ㅜ없어
P0 	: 울산현대 무슨축구선수가 어디서 갈비맛있다고 말했나봐 ㅋㅋ그래서 유명해지;
P0 	: 짐
P1 	: ㅋㅋㅋㅋ신기하다ㅋㅋ
P1 	: 너 먹어봄??
P0 	: 그래서 주말에 엄마아빠가 사다먹었는데 맛있데
P0 	: 난 못먹음...
P1 	: 먹고싶다 ㅜㅜㅜㅜㅜ
P0 	: 근데 갈비가 갈비가 아니래 ㅋㅋㅋ
P1 	: 그러면??
P0 	: 목살인데 양념갈비식으로 양녀
P0 	: 념한건가봐
P1 	: 아 그거좋지
P1 	: 난 갈비있는거 굽기 힘들어서 싫음ㅋㅋ
P0 	: 원래 목살도 이렇게 해먹음?
P1 	: 그런듯? 나 형제 숯불갈비가면
P1 	: 목살로만 주세여
P1 	: 그러는데ㅋㅋ
P0 	: 헐진짜??ㅡ 헐헐 몰랐음
P0 	: 나 원래도목살좋아함
P1 	: ㅋㅋ맛있옹
P1 	: 전하시장 놀러가고싶다
P0 	: 그 막 기름부분이 없어서 좋아
