# FILE DATA
ID : MDRW2100015819
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 강원
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  월 1회 미만

P0 	: 스포츠 경기
P0 	: 보시나요?
P0 	: &name2&님 달리기 못하잔아요
P1 	: 네 달리기는 못하고 안 좋아해요
P1 	: 하지만 가끔 신나면 달려요
P1 	: 스포츠경기는 챙겨보지 않지만 결과는 본답니다
P0 	: 결과만보다니
P0 	: 결과주의자
P0 	: 우리집 앞에 야구장 있는데 한번을 안가봤어
P1 	: 와 야구장가서 치킨 먹으면서 놀고싶다
P0 	: 후자가 중요한거지?
P0 	: 아 나 경기 챙겨보는거 잇어
P0 	: 강아지 장애물경기
P1 	: 와 대박 귀여움
P0 	: 진짜!!!!
P0 	: 성공해도귀엽고 못해도귀여워
P1 	: 못하는게 오히려 귀엽지
P1 	: 어 나도
P1 	: 보는 경기 있어
P0 	: 머
P0 	: 아니 경기 이름이 어질리티인데
P1 	: 김연경 선수 나오는 배구
P0 	: 이번올림픽
P0 	: 넘 재밌더라
P1 	: 김연경 너무 멋있어
P0 	: 수원살잖아
P1 	: 사는 곳은 중요하지 않지
P1 	: 사실
P0 	: 가끔 &address&와
P1 	: 티비로만 볼건데
P0 	: 아냐중요해
P0 	: 코로나검사할ㆍ
P0 	: 하러
P0 	: 우리보건소와
P0 	: 키엄청 크고..엄청 너스레잘떤대
P1 	: 김연경은 멋있지만
P1 	: 경기로 만족해
P0 	: 그래 그럼 중국가서
P0 	: 경기보고오자
P1 	: 미안 거절할게
P0 	: 잉
P0 	: ㅠㅠ
P0 	: 중국남자만나고와야해
