# FILE DATA
ID : MDRW2100020310
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 근데이건 님은 괜찮을듯
P1 	: 님이 내 침대에서자면
P0 	: 오
P1 	: 나는 님의
P1 	: 침대에서
P1 	: 자면
P1 	: 되
P1 	: 니까
P0 	: 나도 ㄱㅊ다
P1 	: 뭐갸욕이냐구
P1 	: 그만 짤라
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 글고 책상 닦느넉 괜챊읃데
P1 	: 하..
P0 	: 안닦을듯
P1 	: 버번에 엄마가 책상 맘대로 닥앗는데
P0 	: 걱정마세요
P1 	: 멎지랑 머리카라깅 오히려
P1 	: 더 묻어잇어가지고
P1 	: 짜증
P0 	: 닦을일이업으니
P1 	: 오~
P0 	: 내책상이나
P0 	: 잘다끙면
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 좀 낫지얺을까싶다
P1 	: 구리고....
P0 	: 말안하고
P1 	: 나 음싱은
P0 	: 사람대려오는거
P1 	: 냉장고에
P1 	: 진짜 개 안되는거만 냉장고 앞에
P0 	: 실어함
P1 	: 화이트보드나 뭐
P1 	: 메모 달아두고
P1 	: 나머지는 맘대로 먹어도 괜란
P1 	: 그건 나도
P0 	: 오 좋다
P1 	: 기본이지
P0 	: 난 집애서
P0 	: 그게잘안된다 ㅎㄹ
P1 	: 난 근데ㅠ데려올 일 없을듯?
P0 	: ㅎㅎ임
P1 	: 그게뭔데요
P0 	: 왜요 잇읏ㄹ수도잇지
P0 	: 말업이 누가 방문하는거요
P1 	: 님은 말업싱 잦주 데리고왓어요?
P0 	: 아뇨 지금도 막
P0 	: 고뫃나삼촌이
P0 	: 갑자기 집애오고
P0 	: 이럴때 많잔아요
P1 	: 아 남들이 그런다고 ㅋ
P0 	: 그게 너무 스트레스이
P1 	: 위리집은 .. 너무 좁은나머지
P1 	: 엄마아빠가 누구 데려오는거 금지시팀
P1 	: 그래서 누구 안데려오는게 너무 당연한 일상이 되엇네요
