# FILE DATA
ID : MDRW2100035766
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 어떤거요?
P1 	: 곰표 민트맛 젤리 이런거요?
P0 	: 몽쉘통통젤리.
P0 	: 또 뭐더라.꼬깔콘인데 뭐 이상한..이름.ㅋㅋ
P1 	: 아아 네 뭔 간장맛
P1 	: 희한한거 먹어봤어요
P0 	: 스테이크화이타..ㅋ
P0 	: 아..충격ㅋㅋㅋ
P1 	: 꼬깔콘 새우마요맛은 입맛에 맞았어요
P1 	: 네 그거요 ㅋㅋㅋㅋ
P1 	: 그거 먹어본거같아요 롯데 매달 보내주는 그걸로요
P0 	: 아새우마요는 아직 못먹어봤는데 이름만 들어도 맛있겠어요 ㅎ
P0 	: 그런거에 이상한거 잘 안팔리는거 껴서 주나봐여ㅠㅠ
P1 	: 새우마요는 나름 괜찮은거같아요
P1 	: ㅋㅋㅋㅋ 그러게요 ㅋㅋㅋ
P0 	: 저도 보고박스 지난번에 이야기한 거기서..ㅋㅋ
P1 	: 찰옥수수맛도 있어요 꼬깔콘요
P1 	: 네
P0 	: 그거는 먹어봤어요 괜찮았어요 ㅎㅎ
P0 	: 과자는 대중적인 맛으로 만들어야하는데 요즘 너무 모험적으로 ㅋㅋㅋ 만들잖나여 ㅎㅎ
P1 	: 그렇더라구요
P1 	: 음료수도 무슨 와사비맛 빙수
P1 	: 이런가 만들던데요
P0 	: 켁 ㅠㅠ
P1 	: 더벤티
P1 	: 와사비맛
P1 	: 빙수있어요
P0 	: 아 .. 음료도 본것같은데
P1 	: 와사비 치즈마빙이네요
P0 	: 예전에 무슨 이벤트에서 뿌린거 같던데 ㅎㅎ 아 빙수였나봐요
