# FILE DATA
ID : MDRW2100046091
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경기
device : 스마트폰
keyboard : 단모음

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 경기
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 맞아요...
P0 	: 저이번에처음으로
P0 	: 20000만원
P1 	: 또 뭐 살 거 없나 고민해야겠어요
P0 	: 아이고
P0 	: 2만원
P0 	: 꽉채우ㅗ서적립했어요 ㅠ
P0 	: 후.
P1 	: 0이 너무 붙었는데요ㅋㅋㅋㅋㅋ
P0 	: 네 ㅋㅋㅋㅋㅋㅋ
P1 	: 그렇게 주면 네이버 망해요ㅋㅋㅋㅋㅋ
P0 	: 저렇게받았음좋겟네요 ㅋㅋㅋ
P1 	: 저도 네이버 기둥 빼먹고 싶네요ㅋㅋㅋㅋ
P0 	: 네이버진짜빛과소금
P1 	: 진짜요...
P0 	: 카카오따위랑 비교가안되는
P1 	: 저거 멤버십도 가끔 뿌리던데
P1 	: 더 뿌리면 좋겠어요
P0 	: 네
P0 	: 전에 이벤트로
P1 	: 카카오는 너무 졸렬하죠
P1 	: 그 포인트 뽑는 거도
P0 	: 무슨 게임 사전등록하면
P0 	: 일년치주는거헸는데
P1 	: 무슨 야단법석 부리더니
P0 	: 마자여
P1 	: 2포인트주고
P1 	: 어휴
P0 	: ㅋㅋㅋ그ㄹ면서 광고는아주
P1 	: 라이언도 괜히 미워보여요ㅋㅋㅋ
P0 	: 라이언
P0 	: 카카오사장
P1 	: 라이언 그 애완동물이 저는
P0 	: 그린거라면서요 ㅠ
P1 	: 좀 싫더라고요ㅠㅠㅠ
P1 	: 윽 맞아요ㅜㅜ
P0 	: 네..저도싫어해오
P0 	: 그래서
P0 	: ㅋㅋㅋ
P1 	: 걔 너무 불쾌하게 생겼어요ㅋㅋㅋ
P0 	: 마자여
P0 	: ㅋㅋㅋㅋ
P1 	: 그리고 라이언이 애완동물 키운단 것도
P1 	: 이상하고ㅠㅠㅠㅠ
P0 	: 춘식이?
P1 	: 아 이름도 킹받아요
P1 	: 뭔 춘식이야ㅋㅋㅋㅋ
P0 	: 저는춘식이
P0 	: 그 뽕알같은
P0 	: 입
P1 	: 으악
P0 	: 너무이상한데
P1 	: 으아악
P0 	: 사람들이 좋아해서
P0 	: 하소연도못하소
P1 	: 저도 그렇게 생각해요
P0 	: 진짜 길티
P1 	: 뽕알이 왜 거기서 나와
P0 	: 거기에수염이진짜저는
P1 	: 아...
P0 	: 넘이상해요
P1 	: 그거 누가 디자인한 건지 진짜
P0 	: 어피치애들이귀여웠는뎅..
P0 	: 옛날애들 ㅠㅜ
