# FILE DATA
ID : MDRW2100036051
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오오 동남아!
P1 	: 저도 동남아도 좋아요
P1 	: 가성비 좋게 다녀올 수 있을거같아서요 ㅎㅎ
P0 	: 그죠 가성비좋게 레져도 하고 맛있는 과일도 먹고 그러고싶어요
P0 	: 일본 가신건 어디로 가셨었나요?
P1 	: 워낙 옛날이라 기억은 정확히 안나지만
P1 	: 홋카이도... 나가사키.. 이쪽 갔었어요!
P1 	: 원래 도쿄 같은 도시를 가보고 싶었는데
P1 	: 시골만 다녀왔어요 ㅋㅋㅋㅋ
P0 	: 그러셨구나 저는 홋카이도에 삿뽀로 꼭 한번 가보고싶어요ㅠ
P1 	: 제가 다녀온 곳 지역명이 잘 기억은 안나는데
P1 	: 온천하는 게 되게 좋았어요!!!
P1 	: 삿뽀로... 거기 맥주가 맛있지 않던가요?!
P0 	: 온천도 가셨구나! 거기 온천도 유명하죠
P0 	: 맥주도 유명한데 눈축제가 유명해요
P1 	: 우와 그렇다면
P1 	: 겨울에 가야 제맛이겠군요!!!
P0 	: 그렇죠!! 겨울에 가보고싶어요ㅠㅠ
P0 	: 영화배경으로도 많이 나왔을걸요?삿뽀로
P1 	: 오!!!
P1 	: 일본 특유의 겨울 분위기 느낌 있죠...
P1 	: 일본 겨울 영화라고 하면
P1 	: 엄청 ㅋㅋㅋㅋㅋ 옛날 영화지만 설국 생각나네요... 원작이 소설인!
P0 	: 그죠 일본 특유의 겨울 느낌이 있죠
P0 	: 설국이라 제목만들어도 눈밭이 어울려요
P0 	: 저는 윤희에게 삿뽀로에서 찍은게 기억나요
P1 	: 헉!
P1 	: 윤희에게 배경이 삿뽀로였군요
P1 	: 제가 좋아하는 영화 중 하나예요!
P0 	: 저도 좋아하는 영화예요
P1 	: 갑자기 중경삼림이 생각났는데
P1 	: 홍콩 여행 가고 싶어지는 영화예요 ㅎㅎ
