# FILE DATA
ID : MDRW2100005936
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 시사(정치, 경제, 사회)>국세청 근로장려금 신청 접수

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: ㅋㅋ아마도요? ㅋㅋㅋ 일단 우리가족 3명은 금요일...
P0 	: 이런건 젤 늦어유 ㅋㅋㅋㅋ
P1 	: &name3&는 ?
P0 	: ㅋㅋㅋ내말이 몰랐다 이런거 있는지 ㅋㅋㅋ
P1 	: 동생은 어제 햇제
P1 	: 왘전 턱걸이도 된데 ㅋㅋㅋ
P0 	: 응! 근데 담주에 가봐야될듯
P1 	: 근데 뭐 경기도는 다준다며
P0 	: 그렇다매 ㅋㅋㅋ
P1 	: 그니깐
P0 	: ㅋㅋㅋㅋ살기좋은 경기도인가
P1 	: 엄빠는안될듯
P1 	: 건보료 40인가낸다던데
P0 	: 헐..ㅠㅠ
P1 	: 잘못아는거아닌가 싶고
P0 	: 지역보험가입자 너무 많이 내
P1 	: 무튼 그래서 경주가 뭐라더라
P0 	: 진짜 비쌈
P0 	: 경주 밑으로 넣으면 안됨? ㅠ
P1 	: 자부심을 가지라며
P1 	: 정부가 자부심을 위로준데 라니깐
P1 	: 자부심이 밥먹여줌? 이럼
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그러게 ㅋㅋㅋㅋ
P1 	: 그게 되나 ?엄마가 자영업자니깐
P1 	: 카드매출이 잡히니깐 ㅠ
P0 	: 자영업자는 무조건 안되는겨?ㅠㅠ
P1 	: 나도 모르지만 ㅠ
P0 	: 허규퓨ㅠㅠ그렇게되는거구만
P1 	: 진짜 매출이 반반토막이라
P1 	: 뭐 소상공인 이런건 받더라
P1 	: 받아도 월세내면끝이지진짜ㅠ
P0 	: ㅠㅠ 진짜 살기 팍팍혀
