# FILE DATA
ID : MDRW2100006831
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 경영/관리직
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 장이 튼튼한가 봄
P0 	: 웬만해서는 배탈 안남
P0 	: 매운거기름진거
P0 	: 불편하겠음
P1 	: 굿
P1 	: 타고남?
P0 	: 어릴떄부터타고남 유제품도 멀쩡
P1 	: 매운거
P1 	: 입 불탐
P1 	: 안그럼?
P0 	: 아 혀는 아픔
P0 	: 단 건 좋아함?
P1 	: 팥충임
P1 	: 님은
P0 	: 팥못참지 붕어빵 최애?
P1 	: 팥찹쌀도너츠
P1 	: 단팥빵
P1 	: 붕어빵에 든 팥은 묽음
P0 	: 아 나는 붕어빵이 최애인데
P0 	: 도너츠못참지
P1 	: 살쪄서
P1 	: 못묵음
P1 	: 팥빙수 팥 듬뿍
P1 	: 굿,
P0 	: 아 비비빅도좋아함?
P1 	: 개좋아함
P1 	: 님은?
P1 	: 앙꼬바 예전에 커서 좋았는데
P1 	: 아이스크림 작아져서 싫음
P0 	: 나는 빙빙도 좋아함 연유있는거
P1 	: 굿
P1 	: 젤 윗부분
