# FILE DATA
ID : MDRW2100042393
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 어제다친발목에
P1 	: 파스를계속붙엿더니
P1 	: 따갑습니다요..
P1 	: ㄱㅋㄱㅋㄱㅋ
P0 	: ㅋㅋㅋ아
P0 	: 친구들이 아이폰인게 계속 슬프네요
P0 	: ㅋㅋㅋ&name2&님이랑 가티 하차해야것어유
P0 	: ㅋㅋㅋㅋ
P0 	: 파스말구
P0 	: 온찜질!!
P1 	: 아 온찜질인가여..!!!!!!
P0 	: 수건물에적셔서 전자렌지 돌리세욥!!!!!
P1 	: 악저랑하차하신다니익!!!!!!
P1 	: 오 팁감사합니다 진짜하구자야겟어요
P1 	: ㅠㅡㅠ
P0 	: ㅎㅎ강추!!!!
P1 	: 나이들수록
P1 	: 다친곳 또 다치구
P1 	: 이런게많아지는거같아요
P0 	: 특히 발목은
P0 	: 더그래요ㅜㅜ
P1 	: 안그랬는데갑자기몇달전에
P1 	: 스피드민턴친다고설치다가 한번다치고나서
P1 	: 그때부터ㅋㅋㄲㅋ
P0 	: 아이공
P0 	: 온찜질 계속 해주세유
P1 	: 네 ㅠㅡㅠ  아직도 냉찜질온찜질 헷갈립니다..ㅋㅋㅋㅋ어디에뭐가좋은지
P0 	: ㅋㅋ발목을 애껴주세요
P0 	: ㅋㅋㅋㅋ
P1 	: 그러게요소중히다뤄야하는데ㅜㅜ
