# FILE DATA
ID : MDRW2100011935
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 단모음

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 오오 드셔보셨군요 역시 ㅋㅋ
	  하롱베이 크루즈 해보셨나요? 안 해보셨다면 비추입니다. (?!) 뭔가 1박2일로 완자요리를 먹으러 간 느낌이예요 ㅋㅋ
P1 	: 저도요!!! 저도 해봤는데 너무 별로였어욬ㅋㅋㅋ
P1 	: 맛도 없고 관광객 한트럭에
P1 	: 풍경도 좀 나가면 질리고 ㅋㅋㅋㅋ
P0 	: 그러니까요. 이게 왜 이렇게까지 인기가 있는 건지 알 수 없었어요. 뱃놀이의 의미가 있는 컨텐츠도 아니고 ..
P0 	: 현지라 더 그런지 몰라도 저는 쌀국수가 소화가 너무 잘 돼서 서너시간마다 먹었거든요. 납작한 면발을 호로록하다보면 순식간에 한 그릇이 사라지기 때문에 .. 아악
P0 	: 혹시 한국에서 판매하는 쌀국수 면 사다 드시기도 하시나요?
P1 	: 맞아요 맞아요 쌀국수 배 금방꺼져요 야채많고
P1 	: 저 한국에서 해먹어본적은 없어요 도전해보신적 있으세요??
P0 	: 작은어머니께서 쌀국수 매니아라 해 드시는데 저는 엄두가 안 나더라고요.
P0 	: 육수 내는 것부터 보통 일이 아닌 .. 어우 ㅋㅋ
P0 	: 소고기 뭇국에 납작한 쌀국수를 넣어 먹으면 맛있긴 해요 !
P0 	: 그래서 서식지 근처에 쌀국수 맛집을 확보하는 것이 몹시 중요하기도 합니다 ㅋㅋ
P1 	: 소고기뭇국! 생각도 못했어요
P1 	: 저는 서식지 근처에 3900 쌀국수 이런거밖에없는데
P1 	: 너무 맛이없더라구요ㅕ
P1 	: 드셔보셧나요
P0 	: 3900 들어본 것 같은데 안 먹어봤어요 ㅋㅋ
P0 	: 면도 납작면 아니라 막 네모반듯하고 그런 건가요 혹시
P1 	: 기억도 안나욬ㅋㅋㅋ
P1 	: 거기서 팟타이 먹었었는데 케쳡맛 났어요..
P0 	: 맙소사 ㅋㅋ 뭔지 알 것 같아요 ㅜ 사실 에머이(면추가)가 제일 만만한데 위생이 안 좋다더라고요 ;;
P1 	: 에머이 겉으로 보기엔 세련됐던데
P1 	: 위생에 ㅅㅣㄴ경을 안쓰는군요 ㄷㄷ
P0 	: 알바생이 트위터에 한 번 폭로했거든요. 그래도 급하게 당길 때 에머이 뿐이면 갑니다 ..
P1 	: 알바생ㅋㅋㅋㅋㅋ 얼마나 더러웠길래..
P1 	: 베트남 다녀오고 나니까
	  한국에서 먹는ㄴ 쌀국수로는 만족이 안됩니다 ㅜ
P0 	: 맞아요 .. 어딜 가도 그 맛이 안 나서 엄청 헤맸지만
P0 	: 언제나 뭔가 항상 부족한 맛이예요
