# FILE DATA
ID : MDRW2100045771
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경북
principal_residence : 경기
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 전북
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안양에 맛집 좀 공유해주실 수 있나요?
P1 	: 음.. 안양맛집.. 뭐가 있을까욬ㅋㅋㅋ
P1 	: 안양 중앙시장 떡볶이 드셔보셨어요?
P1 	: 여기 굵은 가래떡에 고추장이랑 물엿으로 만든 꾸덕하고 매콤달짝지근한 소스로 만든 떡볶인데 넘 맛있어요
P0 	: 오오! 완전 맛있을 것 같아요
P0 	: 꼭 먹어볼게요!
P1 	: 네 ㅋㅋㅋ 시장 입구에서 호떡도 파는데
P1 	: 야채호떡 진짜 맛있거든요 이것도 드셔주세요
P1 	: 이름은 야채호떡인데
P1 	: 안에 당면이랑
P1 	: 청양gochu 들어있어서 매콤하고 완전 맛있어요
P0 	: 오오 완전 꿀팁 감사합니다ㅠㅜㅠ
P0 	: 부추전이랑 같이 왕창 먹어야겠어요!
P1 	: 네 ㅋㅋㅋㅋ 아 중앙시장에 비아김밥이라고 여기 김밥 맛집이래요 저는 안먹어봤지만 유명한 것 같더라구요 ㅎㅎ
P0 	: 헐 김밥까지ㅠㅠㅠ
P0 	: 한 번 가서 포장까지하면 두끼 때울 것 같아요ㅋㅋㅋ
P1 	: 그러네요 ㅌㅌㅋㅋㅋ
P1 	: 밖에 비오니까 뜨끈한 국물음식이 생각나요
P1 	: 우동이나 샤브샤브.. 쌀국수 칼국수.. 홍합탕 등등..
P0 	: 아 진짜 맞아요ㅠㅠㅠ
P0 	: 잔치국수 땡겨요ㅠㅠ
P1 	: 아 &name1&님 혹시 털레기 드셔보셨어요?
P0 	: 털레기요?? 그게 뭐예요??
P1 	: 예전에 비 엄~~청 오는 여름에 군포 갈치저수지에 식당가서 털레기 먹었었는데 넘 기억에 남아요 ㅋㅋㅋㅋ
P1 	: 음 수제비 비슷한건데
P1 	: 된장국물에 건새우랑 애호박등등 넣고 끓인거거든요
P0 	: 헐 군포에 그런 게 있었다니!
P0 	: 저 군포 헛살았나봐요
P1 	: 갈치저수지에 주막보리밥<여기에서 팔아요!
P1 	: 안양에도 체인 있더라구요 ㅎㅎ
P1 	: 진짜 그때 먹은 뜨끈한 털레기 잊지 못해요 ㅋㅋㅋㅋ
P1 	: &name1&님도 나중에 꼭 드셔보세요 ㅎㅎ
P0 	: 헉 꼭 먹을게요ㅠㅠㅠ
P0 	: 꿀정보 너무 감사해요ㅠㅠ
