# FILE DATA
ID : MDRW2100029866
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 제주
principal_residence : 충북
current_residence : 충북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 너네 계정 나 몰러
P1 	: 글구 막 보고싶은건 아니거든여
P0 	: &name3&이 꺼 내가 알려줄 수 있어ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그치만 이영도 글 잘 쓰는데....
P1 	: 감나무 드립만 봤음ㅋㅋㅋ
P1 	: 한번씩은 보더라
P0 	: 신간을 잘 안 내기 때문에....
P0 	: 작년인가에 시타의 장인가?
P0 	: 내긴 했지만
P1 	: 오 내긴냈구나
P1 	: 특정작가거 챙겨본건
P1 	: 베르베르 책 뿐일듯
P0 	: 탐라의 이영도 팬들이 축배를 들어서
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 눈마새 보저
P0 	: 자
P1 	: 특별히 재밌는건가?
P1 	: 맨날 바이블같은거라고만 들음
P1 	: 그래서 걍 수학의정석같은 이미지야
P0 	: 세계관이 신기하고 재밌으니까
P0 	: 수학의 정석보단 재밌지
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 자기들이 재밌어서 영업할때 걍 짱이야~ 이상의 멘트를 해주지않아
P0 	: 음....
P0 	: 이영도 소설은 깔끔해
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 질척거리는 인물이 별로 없어
P0 	: 눈마새만 봤지만
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
