# FILE DATA
ID : MDRW2100005290
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>형제자매
intimacy  :  4
contact_frequency  :  주 1~2회

P1 	: 이번 여름 옥수수나 복숭아는 안 먹고 지나갔네
P0 	: 옥수수 먹었잖아
P0 	: 초당
P1 	: 찰옥수수 말이여~
P0 	: 아아 찰옥수수
P0 	: 아직 철이잖아 옥수수 함 살까?
P1 	: 누가 옥수수 쪄서 알맹이만 주면 좋겠다ㅋㅋ
P0 	: ㅋㅋㅋㅋ
P0 	: 그런것도 찾아보면 있을지 몰라
P0 	: 냉동 찰옥수수 알곡 이런거
P1 	: ㅋㅋㅋ
P1 	: 갓 삶은 것 먹고싶은데
P1 	: 욕심은 끝이 없다
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그건 욕심이지
P0 	: 찰옥수수 함 시켜먹자 뉴슈가 넣고 쪄서
P1 	: 그래 여름 지나기 전에
P1 	: 여름 가기 전에 먹어야할 음식이 또 있나?
P0 	: 민어?
P1 	: 아 민어는
P0 	: 말복기념 민어챙기기
P1 	: 담주에 꼭 먹자
P1 	: 말복은 이미 열흘이나 지났지만
P0 	: 그려 ㅋㅋ 담주에 푸룬도 올텐데
P0 	: 그거 맛있음 좋겠네
P1 	: 복달임 음식은 먹는다!
P0 	: 말복이 열흘 전이라니
P0 	: 시간 잘간자
P1 	: 푸룬푸룬~
P0 	: 간다
