# FILE DATA
ID : MDRW2100008744
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저도 갤럭시로 풀셋하고 싶어요...
P0 	: 저는 노트북이랑 핸드폰이 삼성꺼라 ㅋㅋㅋ
P1 	: 아하 그러시군요
P1 	: 그럼 삼성페이도 쓰시겠네요
P0 	: 삼성페이기반으로 한 카드사어플 쓰고 있어요 ㅎㅎ
P0 	: 카드사 혜택받으려구욯ㅎ
P0 	: 삼성페이 편해요! ㅎㅎㅎ
P1 	: 넹넹 ㅎㅎ
P0 	: 이번에 갤럭시 플립도 너무 이뻐서 사고 싶더라구요ㅜㅜㅜㅜㅜㅜ
P1 	: 네 ㅎㅎ
P1 	: 저는 비싸서 ㅎㅎㅎ
P0 	: 맞아여..... 비싸요 ...ㅠㅋㅋㅋ
P0 	: 핸드폰이 이렇게 비쌀필요가 있나싶어요..
P1 	: 네 ㅜㅜ
P0 	: 제 동생은 중고로도 사더라구요.
P1 	: 비싸긴 해요
P0 	: 쓰던거 팔기도 하고..
P1 	: 네네
P1 	: 그게요 2년에 한번씩 사는데
P1 	: 비싼건 백만원 넘으니까요
P1 	: 저희집 쇼파가 이십년전에 이백만원정도로 샀거든요
P1 	: 폰으로 생각해보니 이십년치 폰기계값이 원금만 천오백은 되겠더라구요 ㅡㅡ;;
P0 	: 너무 비싸요ㅠㅠ 저는 50도 비싸다고 생각해요 진짜...
P1 	: 네 ㅜ
P1 	: 저 지금쓰는 폰은 중국꺼에요
P1 	: 포코폰이라는건데 이년정도 쓴거같거든요
P0 	: 오~ 괜찮나요?
P1 	: 원금 38만원 정도로샀는데 쓸만해요
P0 	: 저도 홍미... 뭐드라 찾아본적있어요
P1 	: 이거 용량이 120기가정도되고
P1 	: 외부 sd카드 넣을수있어서요
P1 	: 다른기능은 잘안써서요
P0 	: 저는 여태 나온지 일년정도 지난 모델 2ㅡ30에 완납으로 사서 썼거든요.
P0 	: 근데 이번엔 5g요금제도 안쓰고 싶고
P1 	: 네네
P0 	: 약정도 안하고 싶어서 찾다가 s21 자급제로 샀어요~
P0 	: 제인생 최초로 최신폰 구매..
P0 	: 진짜 너무비싸여...
P1 	: 네 너무비싸요 ㅜㅜ
P0 	: 원래는 중저가 라인 모델 사려고 헀는데 곧 나온다고 해서 계속 기다렸거든요~
P1 	: 네
P0 	: 두달 기다리다가 결국 s21...
P0 	: 근데 반전은 그 폰 아직도 안나왔어요 ㅋㅋㅋㅋㅋ
P1 	: 그렇군요 ㅋㅋ
P0 	: 그르쳐...
P0 	: 요즘 당근마켓도 핫한데~
P0 	: 이용해본적 있으세여?
P1 	: 네 눈팅만 해봤어요
P1 	: 지금은 어플지웠구요
