# FILE DATA
ID : MDRW2100003684
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 치아건강이 안좋으신가요?
P1 	: 네
P1 	: 임플란트 했어요
P1 	: 저도 제가 이리 될줄 몰랐어요
P0 	: 헙 몇개요?
P1 	: 한개요
P1 	: 근데 딴데도 곧이라고해거
P1 	: 서
P1 	: 너무 겁나요
P1 	: 지금도 감진가요 잇몸이 워낙 약해요
P1 	: 검진가요 혹시 몰라서 잇몸치료하고요
P0 	: 저도 임플란트 2개 할뻔 했어요ㅠ 한달전에
P1 	: 오지금은 어떠세요?
P1 	: 안하시고 다행이네요
P0 	: 치과를 옮겼더니 거기서는 안해도 된다고 하더라고요!!!!!!
P1 	: ㅇ아휴 치과들이 사기가 심해요
P1 	: 안해도 될걸 하라하고
P1 	: 잇몸치약도 쓰고 관리해도 이러네요
P1 	: 꼭 관리 잘해서 임플란트 하지마세요
P0 	: 네 맞아요ㅠㅠ 저도 잇몸건강이 안좋아요
P1 	: 별로예요
P1 	: 피가 막나요
P0 	: 내력이에요 집안
P1 	: 붓고
P0 	: 저도요 치실하면 꼭 피나요
P1 	: 저도 그래요 저희딸은 더 심각해요
P1 	: 태어날때부터 치아가 녹아요
P0 	: 아 그러시구나ㅠㅠ 동지네요
