# FILE DATA
ID : MDRW2100015493
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 내일 식사메뉴 정하셨나요?
P1 	: 오 아직이요~~ㅎㅎ
P1 	: 뭐먹을지 매일 고민이네욯ㅎㅎ
P1 	: &name1&님은요?
P0 	: 전 어제부터 다이어트시작이라 오늘 아침은 삶은계란, 점심은 일반식, 저녁은 단백질쉐이크로 결정했어요!
P1 	: 헉 그렇군요!! 다행히 점심은 일반식이네요!!ㅎㅎ
P1 	: 단백질쉐이크 배안고픈가요?
P0 	: 점심은 직장 구내식당에서 먹었어요 ㅎㅎ 쉐이크도 제법 든든해요!
P0 	: 저녁 식사 메뉴 뭐드세요?
P1 	: 저는 된장찌개 먹었어요!!ㅎㅎㅎ
P1 	: 쉐이크도 요즘은 맛이 다양하던데 무슨맛 드세요?
P0 	: 맛있겠다ㅠㅠㅠ 제 소울푸드예여 된장찌개.. 맨날먹어도 안질리는 메뉴 ㅎㅎㅎ
P0 	: 전 초코맛 쉐이크먹어요! 얄구진맛아니고 제티에 물탄맛같아서 먹을만해요 ㅋㅋㅋㅋ
P1 	: 오 된장찌개 좋아하시는구나!!!크크 사실 전 김치찌개 더 좋아해욯ㅎ
P1 	: 얄구진맛ㅋㅋㅋㄲㄱ표현이 너무 재밌네용ㅎㅎ
P1 	: 다이어트 끝나고 제일 먼저 먹고싶은거 있으세요?
P0 	: 마라샹궈나 피자먹고싶어요ㅠㅎㅎㅎㅎ 이번 다이어트는 먹어가면서 할거지만..
P0 	: 항상 메뉴도 너무 헤비하고.. 양조절이 잘 안되서 힘들어요ㅠㅋㅋㄴ
P1 	: 앜ㅋㅋㅋㅋ마라샹궈랑 피자ㅜㅠ
P1 	: 둘다맛있죠ㅜㅠ
P1 	: 확실히 외식하면 양조절이 힘든것같아요
P1 	: 마라샹궈 최애재료 뭐넣으세요?
P0 	: 저는 노란배추,버섯, 푸주 많이요!! 말린 표고버섯이 진짜 맛있는데ㅠㅠ 식당에선 불린 표고를 주로 팔죵,,,
P1 	: 헉 저도 불린표고만 먹어봤는데 말린 표고도 넣는구나!!
P1 	: 먹어보고싶어요~~
P1 	: 푸주도 넘 맛있죠~~
P1 	: 마라샹궈는 밥이랑 먹어도 넘 맛있어욧
P0 	: 담에 집에서 요리하거나..할때 꼭 말린 표고 넣어보셔요ㅠㅠㅠㅠ진짜 최고존엄입니다
P0 	: 맞아요! 전 탄수화물 중독이라 밥을 꼭 먹는데.. 그래서 샹궈가 좋아요 ㅎㅎㅎ 짭쪼름하니
