# FILE DATA
ID : MDRW2100018986
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요~ 학생이신가요?
P1 	: 졸업생이에요ㅠ!! 자빱티비 보시나요? 저도봐요!
P0 	: 저도 졸업생이에요! 네 저 자빱TV 좋아해요ㅎㅎ만나니 반갑네요
P0 	: 최근에 졸업하셨어요?
P1 	: 그러게요 반가워요! 올해 2월에 졸업했어요!
P0 	: 오 올해 졸업하셨군요 고등학교 졸업하신건가요 대학교 졸업하신건가요?
P1 	: 대학교 졸업했어요!
P0 	: 오!! 고생많으셨어요!! 학위복은 입어보셨어요??
P1 	: 제가 졸업할때 코로나때문에 졸업식도 제대로 안해서 학위증만 받았어요ㅠ ㅋㅋㅋ
P0 	: 아이고~~~ 전 대학교 작년에 졸업했는데
P0 	: 그땐 학위복 대여만 해줬어서 입고 사진만 찍고 왔어요ㅠ...
P1 	: 와 그렇구나 그래도 나중에 사진 보면 그때생각나고 좋을거같아요ㅠ
P1 	: 저도 친구들이랑 학교에서 사진이라도 찍고 마무리할걸 좀 아쉬워요!
P0 	: 그나마 작년 2월은 지금보다 많이 나았었거든요ㅠㅠ..
P0 	: 올해 졸업한 제 친구들은 사진관가서도 찍더라구요~
P1 	: 사진관 가서 찍는것도 좋은 방법이네요!!
P1 	: 저는 대학친구들말고 나중에 고등학교친구들이랑 모여서
P1 	: 전부 다 졸업하면 사진 한번 찍어보게요
P1 	: 지금은 졸업 한 친구도 안한 친구도 있어서요 ㅎㅎ
P0 	: 아 맞아요~ 고등학교 친구랑 연락 활발하게 하시나봐요!
P1 	: 네! 몇명은 이사가고 요새 워낙 다들 바빠서 자주 못만나긴 해도 꾸준히 연락하고 약속잡기도해요ㅎㅎ
P0 	: 오 그러시구나 전 대학교 친구들이랑 연락을 더 자주해요
P0 	: 사람들이 댜학교친구는 다 진실되지않다..이렇게 말해서 겁먹엇엇는데 역시 케바케더라구요ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ 맞아요!! 다들 그냥 누굴 만나냐 나름인거같아요~ 저는 복수전공을 했어서 너무 바쁘게 다녀가지고 결국 대학친구들이랑은 나중엔 사이가 소원해져서 아쉬워요ㅠ ㅋㅋㅋ
P0 	: 오 복수전공하셨군요! 두 마리 토끼를 잡긴 어렵죠ㅠㅠ
P0 	: 전 전공심화햇어요 ㅣㅎㅎ
P1 	: 오 전공심화 하셨구나 멋져요!! 그럼 졸업논문이나 작품 두번 하셨나요?
P0 	: 논문이랑 프로그램 만들어서 제출했어요! 정말 죽어나던 사학년..
P1 	: 와 두가지 따로 해야했군요ㅠ 엄청 힘들었겠어요.. 저도 본과는 예체능인데 복수전공까지 하려니까 졸업시즌에 참 고생 많이했네요ㅋㅋㅋㅠㅠ
P0 	: 아악 맞아요 복전이나 부전하는 친구들이 ㄷ진짜 고생하더라구요...
