# FILE DATA
ID : MDRW2100036042
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 여기도 계속 비가 오락가락 합니다
P1 	: 오늘은 비는 안 오고 후덥지근하네요
P1 	: 저번 주는 내도록 비가 왔어요
P0 	: 저번주 여기도 계속 비왔어요.. 이번주도 비소식은 있는데 오늘은 아직 안오네요
P1 	: 네 여기도 내일부터 비소식 있더라구요
P1 	: 오늘은 덥네요
P0 	: 네.. 날씨가 오락가락이라.. 옷입기도 그렇고.. 여름 물건들 집어넣기도 그렇고.. 참 애매하네요
P0 	: 어느 계절 좋아하세요?
P1 	: 전 봄이 제일좋아요^^
P1 	: 추위를 엄청 많이 타서
P1 	: 따뜻해지는 봄이 제일 좋더라구요^^
P1 	: &name1&님은요??
P0 	: 오~ 저도 봄이요.. 추위를 싫어해서 겨울이 젤 싫어요
P1 	: 오호 ㅎㅎ 저도요 ㅎㅎ
P1 	: 겨울은 놀지도 못하고 아무것도 못하는 시간들
P0 	: 눈도 별로에요.. 운전할때 위험하기만 하고
P1 	: ㅎㅎㅎ 맞습니다 춥기만 춥고
P1 	: 대구는 눈이 펑펑 오지도 않고
P1 	: 차만 더러워지고 길만 미끄러워요
P0 	: 옷도 무거워서 어깨가 아파요
P1 	: ㅋㅋㅋㅋ 아웃겨 ㅋㅋㅋㄱ
P1 	: 맞습니다 ㅋㅋㄱ어깨도 아프죠
P1 	: 뭐들기도 힘들고
P0 	: 추위를 타니까 옷 진짜 여러개 입는데 거의 펭귄처럼 걸어다녀야 하죠
P1 	: ㅋㅋㅋㅋㄱ 아 정말 상상이 가서 웃기네요 ㅋㅋ
P1 	: 저도 두껍게 입는데
P1 	: 두껍게 입은 애기까지
	  안고 다녀야되서 더 힘들어요
P0 	: 에고.. 맞아요.. 안고 다녀야 하는 아기가 있다면 더 그렇죠..
