# FILE DATA
ID : MDRW2100025539
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 고양이나 강아지 좋아하세요
P1 	: 전 둘다 좋아해요
P1 	: 키우지는 않아요
P0 	: 저도 좋아하는데 랜선으로만 키워요ㅎ
P0 	: 개는 보고만 있어도 좋아요
P1 	: 저두요 유튭으로 아이들 지켜봐요
P0 	: 털도 안날리고요ㅋㅋ
P1 	: 맞아요 ㅋㅋㅋ대리만족
P1 	: 산책시켜주기 힘들어요 ㅠ
P1 	: 일땜에 아이들 돌봐줄 시간이 없어서요
P0 	: 산책은..
P0 	: 저 스스로도 잘 안시켜줘서ㅋㅋ
P1 	: 앗 저두요 ㅋㅋ동지시네요
P1 	: 길냥이 보면 한번씩 편의점에서 간식 사서 받쳐요
P1 	: 그걸로 만족중이랍니다
P1 	: 어떤 고양이 종류 좋아하세요
P0 	: 음 지금은 치즈요!
P0 	: 치즈가 순하더라구요
P1 	: 치즈좋아요
P1 	: 얼룩이도 좋아요
P1 	: 턱시도도 좋아요
P0 	: 크 요새 눈썹있는 흰냥이도 좋아요
P1 	: 저두요
P1 	: 눈써비
P1 	: ㅋㅋㅋ
P0 	: 하악거리는것도 귀엽더라구요ㅋㅋ
P1 	: 하찮고 귀여워요
P1 	: 조그만 아기고양이도 좋아해요
P1 	: 쪼꾸미
P0 	: 맞아요!
P0 	: 어제는 점남이 나왔는데
P0 	: 귀여워서 동영상캡쳐해뒀어요ㅋㅋ
P1 	: 보내주세요
