# FILE DATA
ID : MDRW2100043338
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 꺄 퇴근하셨겠네요!! 집에가시면 뭐하시나요?~~ 요즘 보시는 드라마 유툽 있으신가요??
P0 	: 저는 정말 유튭이나 넷플에서 살아요 ㅋㅋㅋㅋㅋ
P0 	: 없이 못삽니다 ㅠㅠ
P0 	: 넷플 왓챠 티빙 다있어가지구 지루할 틈이 없네욬ㅋㅋㅋㅋ
P1 	: 와 셋 다 보시다니 ㄷㄷㄷ 진짜 볼거 많겠네요 ㅋㅋㅋㅋ 저는 왓챠 조금 보다가 지금은 넷플!!
P0 	: 티빙은 네이버멤버십으로 보고있고
P0 	: 어쩌다보니 웨이브 빼고 다보네요 ㅋㅋㅋㅋ
P0 	: 웨이브ㅇㅔ 근데 뭐가 많더라구요?
P1 	: 아아!! 저도 그거 티빙으로 신청해놨는데 ㅋㅋㅋㅋ아직 안들어가봤어요 ㅋㅋㅋㅋ 요즘 환승연애 재밌다고해서 ㅋㅋㅋㅋ티빙 한번 들어가보려구욬ㅋㅋㅋㅋ
P1 	: 오 웨이브 요즘 공격적이라고는 들었어요 ㅋㅋㅋㅋ
P0 	: 진짜.
P0 	: 쟈밌어요
P0 	: 진지
P1 	: 악ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ보시는군여 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 가 왜 나쁜말이지 심심아..?
P0 	: 하 저진짜
P0 	: 그거때뭄애 일주일 버티잖아요
P0 	: 금요일 존버
P1 	: 악ㅋㅋㅋㅋㅋㅋㅋㅋ 저도 빨리 티빙깔아봐야겠어요 ㅋㅋㅋㅋ
P1 	: 저는 넷플에서 체인지데이즈랑 돌싱글즈 보긴하는데 ㅋㅋㅋㅋ둘다 거의 막바지더라구요 ㅋㅋㅋㅋ
P1 	: 그래서 곧 환승연애 시작합니다
P0 	: ㅋㅋㅋㅋㅋ저 나름 유교걸이라 그런지 체인지데이즈는 어우
P0 	: 못보겠는거에욬ㅋㅋㅋㅋㅋ
P0 	: 근데 세상에 환승연애 과몰입
P1 	: 아 진짜 체인지데이즈는 좀 그렇긴하더라구요 ㅋㅋㅋㅋㅋ그러고서 아직도 사귄다는 얘기가 들려서 더 오잉~~ 싶었어요 ㅋㅋㅋ
P1 	: 아 제가 빨리 환승연애를 시작해야겠네욬ㅋㅋㅋㅋ
P0 	: 세상에....ㅋㅋㅋㅋㅋ여러의미로 대단하네요 그분들도
P0 	: 얼른 봐주세요 환승연애 진짜 갈수록 재밌어욬ㅋㅋㅋㅋ
P1 	: 네네 ㅋㅋㅋㅋㅋ이따 밥먹고 시작해봐야겠어요 ㅋㅋㅋ
