# FILE DATA
ID : MDRW2100030487
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 제가 일본 캐릭터들을 엄청 좋아해서
P0 	: 사실 진짜 가고는 싶은데...
P1 	: 과거에 일본을 가신적이 있으신건가요?
P0 	: 저희 엄마가 일본 다녀오시고 암이 재발됐거든요 ㅠㅠ 원인이 그게 아닐 수 있는데
P0 	: 타이밍이...? 괜히 찝찝해서!!!
P0 	: 네네 저는 다녀왔었어요!
P0 	: 고등학교 때 쓰나미 전에 다녀왔었어요~! 좋긴 좋더라구요...
P1 	: 헉...
P0 	: 아 물론 일본 다녀온 것 때문에
P1 	: 쓰나미 전에 다녀오셨다니 타이밍이 정말 좋았네요!
P1 	: 네네
P0 	: 재발이 됐다!!!! 이렇다기 보단
P0 	: 네네!!! 괜히 마음이요!!! 
P0 	: 맞아요 쓰나미가 정말 다음 해에 일어났었어요...!!! 기분이 굉장히 묘하더라구요...
P1 	: 저도 고등학교 때 일본으로 수학여행을 갔어서
P1 	: 다시 너무 가고싶더라구요ㅜ
P0 	: 아 그 기분!
P0 	: 저도 그 때 정말 꿈결같았어요 ㅠㅠ
P0 	: 어디로 다녀오셨나요?
P1 	: 오사카요!
P1 	: 거기 유니버셜스튜디오가 있어서
P1 	: 그걸 노리고갔어요ㅋㅋ..
P0 	: 와....
P0 	: 진짜 제대로 다녀오셨네요
P0 	: 저는 ㅜㅠ 그냥 시골만 다녀왔어요 부럽습니다ㅠ
P1 	: 앗 시골이라면 어디다녀오셨나요?
P0 	: 정확한 지역명은 기억 안나는데
P0 	: 저희가 화산지대를 다녀왔거든요!
P0 	: 홋카이도~나가사키 이렇게 다녀왔던 기억이.....
P1 	: 왕 나가사키 짬뽕!
