# FILE DATA
ID : MDRW2100031177
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P1 	: ㅋㅋㅋㅋ다시 야구군요
P1 	: 잘하네 민우씨
P0 	: 다시 쉬시가 됐지뭐야
P0 	: 그치ㅠ
P1 	: 굉장히 빠르게 끝내셨네
P1 	: 응응
P0 	: 크크 민우 잘하니까 점수내죠,, 십승해야하는디
P0 	: 김민우! 국대도 했었당
P0 	: 이번 올림픽에서
P1 	: 아아 알아알아
P1 	: 야구 다 보지는 않았지만
P1 	: 대강 봤어
P0 	: 꺆 정은원 안타 오웅 오랜만이야ㅠ 찐안타
P0 	: 정은원 너무 귀여으ㅝ,,,
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ찐팬이네
P0 	: 야구잘해서 계속보고싶어
P0 	: 2군안갔으면,,
P1 	: 정은원?
P0 	: 응응 애기야애기 한화의 1번
P0 	: 전반기?에 잘했다더라
P0 	: 지금은 후반기ㅠ
P1 	: 2000년생 내야수네
P0 	: 요즘 좀 잘안되는편이래ㅠ
P1 	: 그치 이번 시즌 슬슬 마무리하는 감이지
P0 	: 응?응?아니 정은원의 타격이?!랑 출루가
P0 	: 정은원이 볼넷 야구 올해1등이래
P1 	: 아하
P0 	: ㅋㅋㅋㅋ진짜 아까두 볼넷으루 나가쏘
P0 	: 근데 찐애기네
P1 	: ㅋㅋㅋㅋㅋㅋㅋ공을 잘 보는구나
P1 	: 응응 나도 찾아보고 놀랐다
P0 	: 한화 진짜 어린애들 많아!
P0 	: 최재훈도 출루했으 볼넷 지금 한화 경기중에
P0 	: 주자 1,2루 노아웃 ^^
P0 	: 기회당ㅠㅠ
P0 	: 최재훈은 포수인데 잘하더라 나홈런두봤지모야
