# FILE DATA
ID : MDRW2100016996
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 뭔가 음식얘기가 제일 재밌는 거 같아요
P1 	: 딴거 이제 할 이야기가 없어요ㅋㅋㅋㅋㅋ
P1 	: 아 누님 식당 알바 해본적 있어요?
P0 	: 있어요ㅋㅋ 남치니 식당서
P1 	: 앗... 거기서 사랑이 싹튼건가요
P0 	: 아뇨ㅋㅋ사귀고나서 도와줬어요ㅋㅋ
P1 	: 오... 서빙했어요?
P0 	: 넹ㅋㅋㅋ
P1 	: 예전에 전 술 파는 음식집에서 설거지했었는데
P1 	: 이것저것 주워먹게되지 않아요?
P1 	: 손님이 손도 안댄거
P0 	: ...?전 아니었는데ㅋㅋㅋㅋㅋ
P0 	: 점심장사 때 한거라...
P0 	: 다들 벤또시켰었어요
P1 	: 그렇게 말하면 내가 뭐가됩니깤ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋ아니 뭐 먹을 수도 있죠ㅋㅋㅋ아까우니까...ㅜ
P1 	: 주워먹는 쏘세지가 을매나 맛있는데ㅜㅜ
P0 	: ㅋㅋㅋㅋㅋ쏘세지좋아해요?ㅋㅋ
P1 	: 맥주에 쏘세지면 그날은 파티죠
P0 	: ㅋㅋㅋㅋ맥주맛있나요...
P0 	: 술 못마시는 1인이라...
P1 	: 맥주는 근데 저도
P1 	: 진짜 막 일하고 덥고 피곤할때 500 한캔 딱 마시는거 아니면
P1 	: 잘 안마셔요
P1 	: 쏘세지 있을때 빼고
P0 	: ㅋㅋㅋㅋ치킨에 맥주 한 잔 마셨다가 얼굴 벌겋게 올라와서 취한 이후로는 맥주안마셔요...
P0 	: &name2&은 치맥보다 쏘맥인가여ㅋ
P1 	: 알쓰시군요
P1 	: 전 근데 위스키파...
P1 	: 쏘맥이라니까 깡술마시는것같네여ㅋㅋㅋㅋㅋ
P0 	: 노렸어요ㅋ
P0 	: 소주에 맥주가 아닌 쏘세지에 맥주ㅋ
P0 	: 요즘에는 논알콜 맥주도 있다지만
P0 	: 전 맥주 맛 모르겠어요
P1 	: 몸 엄청 써서 엄청 피곤할 때 시원하게 한번 마셔봐요
P1 	: 아... 이래서 맥주 맥주 하는구나 할걸요
P1 	: 전 그걸 첨 느낀게 고딩때 친구 부모님 과수원 일 도와드리고 느껴봤음
P0 	: ㅋㅋㅋㅋㅋㅋ힘들게 일하고 마셔야 느낄 수 있는 맥주의 맛
P0 	: 그래서 식사는 했나요
