# FILE DATA
ID : MDRW2100011851
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 대전
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 나도 필라테스끝나면 헬스장 다닐까해
P1 	: 그치...
P1 	: 좋은 생각이야
P1 	: 나한테 운동 경력 물어봣느데 ㅋㅋㅋㅋ
P1 	: 필테도..한 6개눨 했고요...
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 러닝도 좀 했고요...
P0 	: 나도물어봤는데,,
P1 	: 근데 최근 1년 안에는
P1 	: 그냥 하루에 5000보도 안 걸었다고 보면 된다
P1 	: 아예 안했다고 보면 됩니다
P1 	: 했엌ㅋㅋㅋㅋㅋ
P0 	: 저도 숨만쉬고 살았습니다,,
P0 	: 나 원장한테받거든 ㅋㅋㅋ근데 원장이 맨날 운동잘할거같은데 운동왜안햇냐고
P0 	: 약간 김민경 같은가 운동뚱
P1 	: ㅋㅋㅋㅋㅋ진짴ㅋㅋㅋㅋㅋㅋ
P0 	: 김민경 운동 존나잘하자나 다칭찬받고 ㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ운동에 재능 있나봐
P1 	: 나는 걍... 하면 독하게하는데
P0 	: 아냐 잘할거같은데 근육이안붙는다고 그러던데
P1 	: 아 재능
P1 	: 존
P1 	: 나
P1 	: 없어
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아유근데 다들 바디프로필찍고 하는거보면 대단하긴하더라
P1 	: 그니까 상담때 물어보더라고 관심있냐고
P1 	: 그래서
P1 	: 저요? 저 기초체력도 안되는데 ㅋㅋㅋㅋㅋㅋ
P1 	: 하니까 그렇구나
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 하고 넘어갔어 ㅋㅋㅋ
P1 	: 너무 비싸
P0 	: 아 피티는 필라테스보다 엄청 힘들겠지?
P0 	: 유산소 엄청 시키려나?
P1 	: 음 일단 내가 피티하고나서 추가로 개인운동 얘기하니까
P1 	: 좀 놀라던데 하면 무조건 좋대
P1 	: 최소 30분 시킬듯
P0 	: 안하는것보다 하면 더좋지뭐
P0 	: 런닝머신 30분만 타도 뭐
P0 	: 피티는 1회에 1시간한대?
P0 	: 50분인가
P1 	: 그리고 나진짜 인바디가 난리났어
P1 	: 엉엉 50분에서 1시간
P1 	: 그냥 비만 나와가지고
P1 	: 진쩌 와 심각하규나
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 무조건 피티해야겠다...
P0 	: ㅋㅋㅋㅋㅋㅋㅋ그건저도마찬가지,,
P1 	: 생각했어
P0 	: 인바디할때 근육이랑 지방이랑 같이가더니
P1 	: 진짜 근육량이
P0 	: 나중에 근육멈추고 지방 완전올라감 ㅋㅋㅋㅋ
P1 	: 이게 사람이 이정도 근육으로 되나 싶음
P1 	: 엌ㅋㅋㅋㅋㅋㅋㅋㅋ 지방 진짜
P1 	: 난리났어
P0 	: 돼지가 지방이 25프로래
P1 	: 나 얼마나왔지...기억 안나는데..
P1 	: 그냥 돼지랑 같다고
P1 	: 보면돼
P0 	: 시간이 은근 빨리가더라고
P0 	: 9월 중순쯤이면 나도 피티를 받고 있겠구나
P0 	: 난 허리때매 좀 무섭기도함 ㅠ
P0 	: 어디 안좋은곳 있냐고 물어보기도했어?
P1 	: 아 근데 그거 무조건 물어보더라
P1 	: 어어어
P1 	: 라운드숄더랑 디스크
P1 	: 그래서 내가 허리는 괜찮은데
P1 	: 라운드숄더 좀 잇다고하니까
P0 	: 너는 목이자나
P1 	: ㅇㅇ그게 어깨가 말려가지고
P1 	: 암튼 그러니까
P1 	: 첨에는 무슨 체형 위주로 한대
P1 	: 어깨 펴는거
P0 	: 아
P0 	: 재밌겠다,,,벌써설레
P1 	: 이왕 이렇게 된거 운동 열심히..해야지
