# FILE DATA
ID : MDRW2100035351
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저 과일 좋아하는데 꼭 한번 시도해볼게요
P0 	: 진짜 맛있는 과일은 그 자체로 드시구
P0 	: 살짝 아리까리한걸 이렇게 해먹음 맛있어요
P0 	: 그리고 치즈 종류따라서도 좀 틀린데요
P0 	: 산미가 있는 천도복숭이는 좀 산미있는 크림치즈랑 무화과는 산미적은 마스카포네랑 어울렸지만
P1 	: 오 산미가 포인트네요
P0 	: 둘다 크림치즈랑도 어울려요
P1 	: 와우
P1 	: 꿀팁
P1 	: 감사합니다
P1 	: 진짜 좀 신선하지않은 과일은
P1 	: 이렇게먹으면 되겠어요
P0 	: 네네 ㅋㅋ 과일종류따라 잘 골라서 드세요 메론 이런거랑은 안어울려요
P1 	: 아 메론
P1 	: 메론은
P1 	: 많이 먹어본적 없지만
P1 	: 항상 남지않았어요
P0 	: 네 ㅋㅋ저도 메론은 잘 안남겨요
P0 	: 통으로 썰어서 슥삭하면 금방먹죠 집에서 먹으니깐,,,
P0 	: 설빙 메론 빙수도 좋아해요
P1 	: 맞아요
P1 	: 빙수랑 잘어울리죠
P1 	: 그러고보니 인절미빙수도
P0 	: 속을 떠낸 메론그릇이 너무 이뻐요
P1 	: 참 우리나라 사람들 먹는것에 진심이네요
P1 	: 메론그릇 예쁘죠!
P0 	: 영국인이나 독일인 빼면 다 그럴걸요!
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 네 ㅋㅋ 집에서 그렇게 해먹으려면 귀찮은데 설빙서 그런 그릇을 받으면 기분이 좋아요
P1 	: 요즘 설빙 안간지 꽤 됐네요ㅜ
P0 	: 코로나 이후에 설빙 포장을 하면
P0 	: 플라스틱 용기에 담겨오기때문에,,,
P0 	: 메론에 담긴 빙수같은건 못본지 2년이 지났어요
P1 	: 아
P1 	: 그렇겠네요
P0 	: 인절미 빙수도 용기안에 납작해져서 오면
P1 	: 생각해보면 메론그릇이 오진않겠어요
P1 	: 아ㅜ
P0 	: 흥이 좀 덜난달가요
P1 	: 그 맛이 안살죠
P1 	: 맞아욬ㅋㅋㅋㅋ
P0 	: 네 오다가 안흔들리게 파츠별로 통에 담겨와요 ㅠㅠㅋㅋ
P1 	: 또 빙수는 여러명이서 먹는거라
P1 	: 코로나 타격이 크겠네요
P0 	: 이쁘게 담겨오면 ㅋㅋ 야 사진직어라 빨리 찍어라 비쥬얼 미춋다 이러는데
P1 	: 근데 빙수 솔직히 일인당하나 아닌가요?
P0 	: 여럿이서 호들갑 떠는 세레모니가 있는 빙수랑
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 여럿이 가면 2개를 주문하지요 ㅋㅋㅋ
P0 	: 혼자서 포장용기를 여는 빙수,,
P1 	: 흥이 안나네요ㅜ
P0 	: 성냥팔이 소녀가 혼자 성냥을 그어서 음식보는 기분이에요
P1 	: 앜ㅋㅋㅋㅋㅋㅋ
P1 	: 그게뭐에욬ㅋㅋㅋㅋㅋㅋ
P1 	: 근데 뭔말인지알겠어요
P0 	: 불꽃속 환상을 보듯
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 절단난 빙수 파츠들을 보고
P1 	: 뭔가 급 쓸쓸
P0 	: 아아,, 이건 메론컵 안에 담겨있어,,,
P1 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 이런 환상을 상상하며,,
P0 	: 빙수는 쌓아야 되는데 배달빙수는 각기 파츠별로 통에 담겨오니깐 전 상상하며 먹어요
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 뭔가 역시 음식은
P1 	: 비주얼도 한몫하는구나
P0 	: ㅋㅋㅋ장점은 포장하면 혼자 시켜도 이분의 일씩 혼자 나눠먹음되니깐ㅋㅋ
P0 	: 딱 그거 하나가 장점이네요
P1 	: 그렇겠네여
P1 	: 진짜 설빙
P1 	: 이렇게 대화하다보니 가고싶어요
