# FILE DATA
ID : MDRW2100009597
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 실습 학교로 갔는데
P1 	: 제가 배정된 반 담임이
P1 	: 진짜 이상했어요
P0 	: 어땠는데요
P1 	: 학교폭력을 방관해요
P0 	: 헐
P1 	: 피해자가 잘못이라고 생각하고요
P0 	: 그럼 안되잖아요
P1 	: 그래서 막지도 않고
P0 	: 와 진짜 너무하네
P1 	: 당연히 절대 안돼요
P1 	: 10살이 잘못 되어 봤자
P1 	: 뭔 잘못이 있겠어요
P1 	: 2주간 저랑
P1 	: 실습 같이 간 메이트들이
P1 	: 진짜 힘들었어요
P1 	: 저희가 할 수 있는 게 없으니까요
P0 	: 그럴거같아요
P1 	: 고작 실습생이라서
P1 	: 담임이
P1 	: 군인 출신인데
P0 	: 남자였구나
P1 	: 지금까지 섬에 있는 분교에만 있었대요
P0 	: 아..
P1 	: 전교생 2명이니까
P1 	: 교사도 자기 뿐이었나봐요
P0 	: 알것같은 전개
P1 	: 그래서 제지가 없었던 거죠
P1 	: 그 꼴이 될 때까지
P1 	: 저는 경기였는데
P0 	: 진짜 선생이란 단어에 무게를 크게두고싶지않은데
P1 	: 저 초등학교 때도 체벌 없었거든요
P0 	: 본인이 할 일은 해야지
P1 	: 근데 아직도 애들 잘못하면 벌 세우고
P0 	: 체벌하던가요
P0 	: 와 믿을 수 가 없다
P1 	: 때리지는 않는데
P1 	: 오리걸음 이런 거 시켜요
P1 	: 애들이 싸우면
P1 	: 말리는 게 아니라
P0 	: 요즘세상에
P0 	: 와 진짜 그런 사람도 교사라고
P1 	: 소란스럽다는 것에 중점 맞춰서 혼내고
P1 	: 애들 갈등 해결 안 하고
P1 	: 소란 만들었다는 이유로
P1 	: 교실 앞에서
P1 	: 손 들고 서있게 하고
P1 	: 실습 3번째였거든요
P0 	: 와 진짜 민원 안들어가나
P1 	: 그런 교사는 처음이었어요
P0 	: 힘드셨겠어요ㅠ
