# FILE DATA
ID : MDRW2100006829
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 광주
principal_residence : 대구
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는... 시트콤은 브나나만 봐서 그쪽은 추천할게 없지만
P1 	: 루시퍼랑 엄브렐라 아카데미
P1 	: 재미있게봤어요 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 엄브아카
P0 	: 브나나 추천해주신 분한테 추천 받았는데
P0 	: 아직 못봤네요...
P1 	: ㅋㅋㅋㅋ시간나실때 한 번 보셔요
P1 	: 아직 시즌도 많이 나온거 아니라서
P1 	: 가볍게 볼 수 있어요
P0 	: 넵 ㅋㅋㅋ
P0 	: 혹시 넷플릭스 말고도
P0 	: 사용하는 서비스 있으신가요??
P1 	: 앗 아뇨 넷플릭스만 있어요 ㅋㅋㅋㅋ
P0 	: 아 전 스트리밍 사이트 진짜 많이 이용하거든요...
P0 	: 혹시 디즈니 플러스 나오면 하실건가요??
P1 	: 디즈니 플러스는 조금 고민중이예요 ㅠㅠㅋㅋㅋㅋ
P1 	: 국내에 들어오는 디즈니 플러스에
P1 	: 어떤것들 있는지 좀 파악하고 생각해봐야할거같아요 ㅋㅋㅋㅋㅋ
P1 	: 사실 스트리밍 사이트 결제만해두고 ㅠㅠ 알차게 이용을 잘 못해서요
P0 	: 사실 저도 가입은 많이 했는데
P0 	: 쓰는 것만 쓰는 거 같아요
P0 	: 혹시 딪플 사용하시면
P0 	: 해밀턴이라고 디즈니 플러스에서 독점 중계하는 뮤지컬 꼭 보세요!!
P0 	: 진짜 재밌어요...
P1 	: 헐 진짜요??
P1 	: 메모해둘게요 ㅠㅠㅠ
P0 	: ㅋㅋㅋㅋ 감사합니다...
P1 	: 브나나 완결났다는데
P1 	: 넷플릭스엔 언제 들어올지 모르겠네요...
P1 	: ㅠㅠ...
P0 	: 저 사실 ㅋㅋㅋㅋ
P0 	: 피콕이라고 해외 앱 결제해서 봤어요...
P0 	: 재밌더라고요...
P1 	: 와 진짜요???
P1 	: 전... 자막이 필요해서
P1 	: 넷플릭스에서 들여올때까지
P1 	: 기다리는 중이에요 ㅠㅠㅠㅠㅠ
P0 	: 빨리 들어왔응 좋겠네요 ㅠㅠ
P1 	: 그러니까요 ㅠㅠㅠㅠ
P1 	: 넷플릭스에서 다른거 재밌게 보신건
P1 	: 어떤거 있으신가요??
P0 	: 저 셜록이요!!
P1 	: 아 셜록 재밌죠 ㅋㅋㅋㅋㅋㅋ
