# FILE DATA
ID : MDRW2100034344
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 밤에 뭐 보고 주무세요?
P1 	: 자기전에 전 유튜브요
P0 	: 저는 웹튜이요ㅋㅋ
P0 	: 웹툰이요
P1 	: 아 전 카카오페이지
P1 	: 소설요
P1 	: 웹툰도 봐요
P1 	: 요새 카카오 웹툰 퀴즈도 풀고요 ㅋㅋ
P0 	: 퀴즈는 뭐에요??
P1 	: 카카오 웹툰 주식주는 퀴즈요
P1 	: 새로 오픈기념요
P1 	: 선전 안보셨어요?
P0 	: 헉 그런게 있군요
P0 	: 네 그런 이벤트 있는건 몰랐어요ㅋㅋ
P1 	: 네 저번부터 웹툰보며 했러요 ㅎㅎ
P1 	: 어서 해보세요
P1 	: 웹툰 뭐 보세요?
P0 	: 흐억 얼른 찾아봐야겠네요
P1 	: 네 ㅎㅎ
P0 	: 감사합니당
P0 	: 유일무이로맨스요!
P0 	: 아실까요?
P1 	: 네 ㅋㅋ
P0 	: 오오 보시나용?
P1 	: 아뇨 보더가 ㅋㅋ
P1 	: 하차요
P1 	: 제가 뭘 끝까지 안봐요 ㅜㅜ
P1 	: 전 사실 육아물 좋아해요 ㅎㅎ
P1 	: 근데 다들 좋아 하던데요
P1 	: 저만 그럽니다 ㅎㅎ
P1 	: 주위에 읽던데요
P1 	: 무협지 최고 악당의 귀한딸입니다 ㅋㅋ
P1 	: 요런거 봐요 ㅋㅋ
P0 	: 아항ㅋㅋ 그러시군요
