# FILE DATA
ID : MDRW2100012951
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네 저도요
P0 	: 이제 운전하니까 눈도 싫고
P1 	: 이젠 교통에 질척이는거 거정에
P1 	: 싫어요
P0 	: 겨울의 장점이 저에게는 앖네요 ㅋ
P1 	: 저도요
P0 	: 춥고 눈오고 미세먼지에 감기
P1 	: 작년에 난방비 폭탄 ㅠㅜ
P1 	: 또슬퍼지네요
P0 	: 그러게요 ㅜ
P1 	: 맞아요 미세먼지 진짜 힘들어요
P0 	: 전 봄이 좋던데
P1 	: 안오면 좋겠오요
P1 	: 저 꽃알러지 ㅜㅜ
P0 	: 아~ 봄도 별로네요^^;
P1 	: 네 ㅜㅜ 약을 달고 살아요
P1 	: 결국 여름만 멀쩡해요 ㅎㅎ
P1 	: 봄은 그래도 좋긴해요
P1 	: 꽃이 날싫어해도
P1 	: 이뿌니까
P1 	: 예전 벚꽃행사 참좋았는데 애들도 좋아하고요 ㅎㅎ
P1 	: 전부 약먹지만요
P0 	: 벚꽃 올 봄에 진짜 예뻤어요 / 전 근처 공원에서 봤거든요
P1 	: 아
P1 	: 전 드라이브하며 지나갔어요
P1 	: 꽃길 너무 예뻤어요
P1 	: 여긴 폐쇄되서 드라이브로 지나갔어요
P1 	: 코로나가 계절을 지우네요
P1 	: 전 사실 벚꽃길 벚꽃비 내리는거 좋던데
P1 	: 분위기 있고요 ㅎㅎ
P0 	: 코로나가 계절을 지운단 말 인상깊네요
P0 	: 좋아하는 걸 제대로 즐기지도 못하게 하고
