# FILE DATA
ID : MDRW2100045150
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: ㅇㅇㅇ...
P1 	: 그걸 재밌다고 웃는거
P1 	: 기괴한데
P0 	: 우리나라에서는 했다간 당장에 프로그램이 폐지될 급의
P0 	: 근데 그런식으로
P0 	: 샤워중인데 천장에서 찍으면서 나타난다거나
P0 	: ?
	  어나
P1 	: 걔네는
P0 	: 속에입는 옷을
P1 	: 도덕성이란게 없나
P0 	: 속
P0 	: 옷이라하ㅣ그럼
P0 	: ㅁ이게나쁜말이냐
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ....
P0 	: 암튼 거기다
P0 	: 멘톨발라서
P1 	: 아 ㅇㅇㅇ...
P1 	: 진짜
P0 	: 애가 민감한 부분에 화한게 닿으니가
P1 	: 신고당해도
P0 	: 온몸에 땀을 흘리며괴로워하는걸
P1 	: 할말 없는거 아니냐고
P1 	: 폭력이지
P0 	: 깔깔거리면서 지켜보고
P0 	: 온천가는 컨텐츠에
P0 	: 일부러 모자이크안하고
P0 	: 수영장 간다해놓고 물에 녹는 옷 줘갖지고
P1 	: 아니 진짜 미개해
