# FILE DATA
ID : MDRW2100031243
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 기타 사회 생활 및 활동>온라인 커뮤니티

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 전북
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋㅋㅋ그랬군요
P1 	: 음 큰 카페는 아니고
P1 	: 그냥 여초카페해요
P1 	: 우리동네목욕탕이라고..ㅎㅎ
P0 	: 목욕탕이요?
P0 	: 이름이 되게 싱기해요
P1 	: 넼ㅋㅋㅋ 그냥 이름만 목욕탕이고
P1 	: 그냥 커뮤니티 카페예요
P0 	: 목욕탕에서 수다떤다 이런느낌으로 목욕탕인가요?
P1 	: 네네 맞아요 ㅋㅋㅋ
P1 	: &name1&님은 커뮤니티 하시나요
P0 	: 오 그럼 이름 잘 지었네요ㅋㅋㅋㅋ
P0 	: 저는 더쿠라고 이름 그대로 덕후들 모여있는 커뮤니티입니다 ㅋㅋㅋ
P1 	: 아!! 더쿠 알아요
P0 	: 오!
P1 	: 더쿠도 유명하죠 ㅎㅎ
P0 	: 그런가요?
P0 	: ㅋㅋㅋㅋㅋ
P1 	: 원래 쭉빵카페 했었는데 쭉빵이 망해서 ㅎㅎ..
P1 	: 우동탕으로 옮겼어요 ㅋㅋㅋ ㅜ
P0 	: 아
P0 	: 우동탕ㅋㅋㅋㅋㅋ
P0 	: 너무 ㅋㅋㅋㅋ
P0 	: 먹음직
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그쵸 저도 한동안 우동먹고싶었어요 너무..
P0 	: 거기서는 주로 어떤 얘기 하세요?
P1 	: 호칭도 우동이어가지구..
P1 	: 음 그냥 각자 하고싶은 뻘얘기 하는 것 같아욬ㅋㅋㅋ
P1 	: 덕질하는 사람들은 덕질게시판에서 덕질하고..
P1 	: 게임하는 사람들은 게임게시판에서 게임하고
P1 	: 그냥 일상얘기는 자유게시판에서 하고~~
P1 	: ㅎㅎ다양해요
P0 	: 그냥 이름만 다르고 커뮤는 다 똑같나봐요
P0 	: 더쿠도 그래요
P1 	: 맞아요 ㅋㅋㅋ
P0 	: 더쿠만 해봐서 다른덴 몰라서 물어본거거든요
P1 	: 아하
P0 	: 호칭이 우동이면
P0 	: 글쓴 사람한테 우동아 이렇게 해요?
P1 	: 네 맞아요 ㅋㅋㅋㅋ
P1 	: 사실 정해진 건 아니고 호칭 자유긴 한데
P1 	: 아무래도 카페 이름이 우동탕이니까
