# FILE DATA
ID : MDRW2100023252
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 고등일땐 좀 그런 애들이 있었는데 제가 선택과목이거든요
P0 	: 선택과목이면
P1 	: 그래서 뭐 현실적으로 어쩔수없지 하는 생각이 들어요
P0 	: 과학에서 화학/물리/ 이런거요?
P1 	: 필요한 애들만 들으니까
P1 	: 네네 그런 과목
P0 	: 지들이 원해서 들었는데 수업 참여 안해요?
P1 	: 원하지 않는 애들!
P0 	: 헉!
P1 	: 내신으로 선택은 했는데
P1 	: 수능에선 안 치는 애들은
P0 	: 아 그런 아이들이 있구나....
P1 	: 제가 뭐 끝까지 들으라고 하기보다는 좀 체력 아껴서 다른 과목 공부하는게 더 현명한 거기도 하고 ㅋㅋ
P0 	: 우리 분명 직장 이야기 중인데 뭔가 주제가 학교생활인 것 같은 건 기분탓이죠?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 학생들이랑 라포형성 잘 돼요?
P1 	: 직업정신을 야기하는데여 ㅜ머ㅜ
P1 	: 여고 일할땐 라포형성 최대였는디
P1 	: 남중 일하는 지금 관심사 너무 달라서
P0 	: 담임 역할이 경게가 뚜렷하지 않은 것 같아서 잘모르겟어요 궁금해요
P1 	: 친해지는데 어려워요 ㅋㅋㅋㅋㅋㅋ물론 친근감 표시는 하지만 ㅋㅋㅋㅋ
P0 	: 남학생들이 선생님 많이 좋아할 것 같아요
P1 	: 전 지금 담임 안하는 중이라
P1 	: 그냥 교과시간에만 만나는데
P1 	: 그럼 서로 좋은 모습만 볼 수 있으니 친하게 지내고 ㅋㅋㅋ
P1 	: 담임이면 교실 들어갔을때 잔소리 좀 얹게되고 ㅋㅋㅋ
P0 	: 아ㅋㅋㅋ
P0 	: 그럼 학교선생님들 담임 선호하는 편인가요 아니면 비선호?
P1 	: 다들 일반학교에선 비선호인데
P0 	: 오.. 비선호하는구나
P1 	: 혁신학교라 담임들 업무 아예 안줘서
P0 	: 아 그건 좋네요 ㅋㅋㅋ
P1 	: 여긴 담임 선호해요
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 그러면 일반 학교의 경우에는요
P0 	: 선생님이 담임 맡으면 어떤 점이 어려워요?
