# FILE DATA
ID : MDRW2100026638
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 그치...뭔가...그냥 넘기기 아까운 행사인걸
P0 	: 그리고 오늘 눈물 나는 사실 하나 말씀 드려두 될까요
P1 	: 예........................모두말씀해보세요(손수건준비하며
P0 	: 아까 저녁 아홉시에 교수님한테서 갑자기 전화가 왔다?
P1 	: ..?
P1 	: 응...
P0 	: 헉쉬 뭐야 또 잔소리 하려구 전화하셧나??하면서 달달떨면서 받았는데
P0 	: 갑자기 내일 9시에 출근할 사람이 필요하대 이틀동안
P1 	: 하하적이요.
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 근데 연락할 사람이 나랑 친구 밖에 없대
P1 	: 아니..
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 근데 그 친구 그 알바 하는곳이 건대거든요
P1 	: 넹넹
P0 	: 알바 하러가야하는 곳이
P0 	: 근데 친구는 김포산단말이야
P1 	: 아니...?ㅠㅠㅠ와 진짜 먼거리 오가는구나 응ㅇ응
P0 	: 근데 막 집이 역 바로 앞두 아닌데 진심 1시간 30분 가야하는거자나
P0 	: 와 그래서 일단 그 친구는 아마 못할거 같고 제가 제 친구한테 연락 돌려보겠다고했다
P1 	: ㅇ ㅏ.........................응ㅇ응
P0 	: 그러면서 달달 떨면서 친구 한테 이 재앙을 토스 하기 위해 전화를 진짜 아무나 될거 같은 친구 한테 걸엇죠
P1 	: ㄹㅁㄴㅇㄹㅁㄴㅇㄹㅁㄴㅇㄹㅁㄴㅇㄹㅁㄴ..........................옙.(같이떨면서..
P0 	: 근데 2명을 구해야하는거였거든
P0 	: 친구 한테 알바 이야기를 하는데 갑자기 너무 미안해지면서...모르는 교수님이랑.....모르는 내친구랑....
P0 	: 그렇게 세명이서 앉아있는 그림이 너무 양심의 가책에 찔려서
P1 	: ...... ... . ㅜㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ(울기시작
P0 	: 그렇게 양심의 가책을 못이기고 머리가 하얗게 된채로
P0 	: 하면 같이 하겟다고 햇어.
P1 	: ㅠ
P1 	: (통곡의벽
P0 	: 나 내일 8시 30분까지 건대 출근이야
P0 	: 돌아버려
P1 	: 아침이지...
P0 	: 8시 30분부터 밤 9시까지
P0 	: 네
P1 	: 시급얼마야
P0 	: 시급 없어
P1 	: ?
P0 	: 교수님들의 임금은 언제나 일당 십만원이야
P1 	: ?
P0 	: 찐인디
P1 	: ?
P0 	: ㅋㅋㅋㅋㅋ교수님들 맨날 하루에 몇시간 근무하든 하루에 십만원 줌
P1 	: 이거 뭐냐 진짜
P1 	: 급기야 당황해서 시급계산해옴
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ얼만데요ㅠ
P0 	: 점심시간 빼면 11.5시간인가..?
P1 	: 10만 4천 얼마.... 다행 아닌데 애매하게 최저시급은 되네..
P0 	: 저녁도 주시나요 교수님?
P1 	: 아 그럼 딱 될듯...
P1 	: 주나요?
P0 	: 몰라요...
P1 	: ...
P0 	: 진짜진짜 몰라요
P0 	: 뭘하는건지도 왜 갑자기 사람이 둘이나 이틀 필요한건지도
