# FILE DATA
ID : MDRW2100040178
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 아 구럴 슈 있다
P0 	: 방송국이있음?
P1 	: 건강이 필요하니까
P1 	: 그럣나보ㅓ
P0 	: ㅋㅋㅋㅋㅋ
P1 	: 꽤 걷긴 했는데 감
P1 	: 신기한게
P0 	: ㅇㅇㅇ엉
P1 	: 방송국 안에 만화 캐릭터들 있더라
P1 	: 드래곤볼이랑
P0 	: ㅇㅎ
P1 	: 어떤 가정집 만화
P0 	: 애니메이션
P0 	: 방송국이었나?
P0 	: 방송사이름기억함?
P1 	: 아니 그냥 방송국이엇음
P0 	: 오
P0 	: 그냥들어갈수있었음?
P1 	: ㅇㅇㅇ
P0 	: 헐
P1 	: 유ㅣ에 전망대도 있어서
P0 	: 신기하다
P0 	: 오
P1 	: 관광객들이 많이 가나보ㅓ
P0 	: 아
P0 	: 무슨느낌인지알겠음
P0 	: 확실히
P0 	: 일본이애니가유명해서그런지
P0 	: 어딜가도
P0 	: 만화는있는듯
P1 	: 그니까 신기했음
