# FILE DATA
ID : MDRW2100007246
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 장칼국수 좋아하시나봐요!
P1 	: 좋아하긴 해요
P1 	: 음식을 좋아하고 닉네임을 지을 때 그때그때 생각나는 음식으로 하는 편이에요ㅎㅎ
P0 	: 아하 그럼 최근에 자주 드셨던 음식은 무엇인가요?
P1 	: 음 자주 먹는 건 떡볶이에요
P1 	: 좋아하는 음식이 뭐예요?
P0 	: 어 저도 떡볶이 자주 먹어요
P0 	: 오늘 엽떡 배달 시켜먹었거든요!
P0 	: 좋아하는건 치킨 좋아해요
P0 	: &name2&님은요?
P1 	: 저는 삼겹살 먹었어요
P1 	: 떡볶이는 언제나 맛있죠
P1 	: 치킨은 양념vs후라이드
P0 	: 와 삼겹살에 된장찌개/김치찌개
P0 	: 전 닥 후라이드요
P0 	: &name2&님은요?
P1 	: 전 된찌요!
P1 	: 김치찌개가 소울푸드긴한데 삼겹살엔 된장찌개가 좋아요
P1 	: 치킨은 후라이드구요ㅎㅎ
P0 	: 저도 삼겹살엔 된찌요! 호박이랑 두부 많은...
P0 	: 오호 후라이드도 겹치네요!
P0 	: 그렇담 물냉과 비냉 사이는~~?
P1 	: 음 물냉비냉은 다 좋은데 굳이 고르자면 비냉요
P1 	: 근데 비냉에 육수 좀 부어먹는 걸 좋아해요
P0 	: 어 저도요 거의 비냉만 먹어요
P0 	: 거기에 온육수 주는 가게면 완전 땡큐..
P1 	: 그럼 평양냉면은 안 좋아하시나요?
P1 	: 온육수 너무 좋죠
P0 	: 평양냉면은 안먹어봤어요! 완전 슴슴한 맛이라던데 맞나요?
P0 	: 맞아요 차가워진 속을 따땃하게..적셔..
P1 	: 완전 슴슴한데 전 좋아해요
P1 	: 제가 평양냉면 처음 먹었을 때 같이 갔던 세 명이 다 그날 처음 먹었던 건데 저만 맛있어했어요..
