# FILE DATA
ID : MDRW2100009342
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 혹시 그것도 보시나요
P0 	: 그녀의 심청
P1 	: 아 좋아하는 작가 있으세요?
P1 	: 네? 헐 무조건요
P0 	: !!!
P0 	: 와 저 그거보다가 울었잖어요
P0 	: 좋아하는 작가 가위작가님이요
P0 	: 제가 말했었나요
P1 	: 저 그거...너무 좋아서 여러번 돌려봤어요......하....최고
P0 	: 하
P0 	: 아시는구나
P0 	: -찐-
P0 	: -메-
P0 	: 메이플 하는 사람은 과금 잘하더라고요(?)
P1 	: 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 웹툰은 못 참죠~~~~;;
P1 	: 가위작가님 혹시 찢어버리다 아니...아니
P1 	: 씹어삼키다?
P0 	: 아니
P1 	: 맞죠
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 네네네
P0 	: 그거랑 요리왕
P0 	: 비룡말고
P1 	: 아 진짜 잘못생ㄱ각났어요 누굴찢어
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 찢는건 북극곰아니냐구요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 자취요리왕 진짜재밋는데 하...
P1 	: ㅋㅋㅋㅋ북극곰은 사람을 찢어~!
P0 	: 저 가실 보리작가님도 좋아해요
P0 	: 그거랑 남비엘
P0 	: 아시죠
P0 	: 그리고 피비작가님
P1 	: 아 헐 남비엘....
P1 	: 남비엘...남비엘 수혁아.........
P1 	: 와 피비작가님 그림체 너무 좋네요 봐야지....하 씁
P0 	: 그 작가님 윤재파셨는데
P1 	: 약간 그게 그림에서 좀 티나지 않나요?
P0 	: <남친있어요>가 ㄹㅇ 윤재고
P0 	: 맞아요
P1 	: 윤재파신분들 특유의 그 느낌있는데
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 피비작가님이 그렇슴다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 근데 <비의도적 연애담>은 안그래요
P0 	: 그런가..?
P0 	: 암튼 저거 명작
P0 	: 전 소프트 주로 보는데
P0 	: 아주명작
P1 	: 아 그래요? 씁 봐야지... 오늘 꿀팁 많이 알아가네요
P1 	: 님 혹시 소설도 보시겠죠?
P1 	: 당연한거죠?
P0 	: 아
P0 	: 소설은 주전공이 아니긴 한데
P0 	: 우선 말해줘요(
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 하프라인은 읽얶어요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저 비엘은 아니고
P1 	: 카카오페이지 소설중에 데뷔못하면죽는병
P1 	: 이거 진짜 재밋거든여
P1 	: 하....
P1 	: 맞아요 이거 얘기하려고 꺼낸 말이었어요~~^^!
P0 	: 데.못.죽..?
P0 	: 문대 아현 알아요
P0 	: 아니 다 데못죽 보나봐
P0 	: 저 60화대라
P0 	: 아직 파악 못했거든요
