# FILE DATA
ID : MDRW2100032932
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 경기
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 울산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 얼마전에 올림픽이었는데 티비에서 경기들 좀 보셨나요?
P1 	: 올림픽에 관심 없어서 잘 앗봤는데
P1 	: 여자배구 중계하는것만 봤어요
P1 	: &name1&님은 챙겨 보셨어요?
P0 	: 배구 보셨구나
P0 	: 제가 운동을  하는 걸 좋아해서요
P0 	: 보는 건 올림픽 정도 봐요
P0 	: 평상시 중계하는 건 안보지만
P0 	: 올림픽은 재미있더라구요
P1 	: 맞아요 관심없는데도 어쩌다 보면
P1 	: 흥미있고 재미있더라고요
P1 	: 운동은 어떤거 하세요?
P0 	: 지금은 코로나 때문에 가서 모여서 하는 운동은 못하고
P0 	: 산책정도 해요
P0 	: 코로나 전에는 수영 했었어요
P1 	: 저는 퇴근후에 gx하고 있어요
P1 	: 그리고 아내랑 산책 자주해요
P0 	: 산책 좋아요
P0 	: 걷기가 정신건강에 좋다고 하더라구요
P0 	: 봄 가을은 특히 걷기 좋은 계절이죠
P1 	: 아 정신건강에도 좋군요
P1 	: 산책하면 대화를 많이 나눌수있어서 좋아요
P0 	: 맞아요 걸으면서 풍경보면서 대화 나누면 참 좋죠
P1 	: 네네 어제도 아내랑 같이 운동하러 가고 운동 끝나고 산책하고 들어왔는데 너무 좋은 시간이었어요
P1 	: 산책하면서 대화도 많이해서 즐거워요
P0 	: 산책도 좋고 부부가 같은  스포츠를 즐기는 것도 좋아보여요
P0 	: 같은 팀을 응원한다던지
P0 	: 같은 운동을 함께 한다던지 하는 거요
P1 	: 남편분과 같이 스포츠경기 관람하러 다니시나요?
P0 	: 경기장을 가본적은 없어요
P0 	: 예전에 남편이 야구 해태팬이어서
P0 	: 티비로 같이 본적은 종종 있었지요
