# FILE DATA
ID : MDRW2100029846
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 축구는 잘 몰라서요...ㅎ
P0 	: 그러고보니
P0 	: 농구는
P0 	: 어때요
P0 	: 저는 잘 모르지만...
P1 	: 농구는 한국건 안보고 미국것만 봐요
P1 	: Nba
P0 	: 아아
P1 	: 아침에 중계해준다는 장점이 있죠
P1 	: 사람을 아침형 인간으로 만들었습니다ㅋㅋ
P0 	: ㅋㅋㅋㅋ
P0 	: 아 그러고보니 저도
P0 	: 메이저리그 이따금씩 보면
P0 	: 아침에...
P1 	: ㅋㅋ 어쩔수 없이 일어나게 되는거 같아요
P1 	: 생중계가 아니면 재미도 없잖아요
P0 	: 그렇죠
P0 	: 진짜 결과만 보는 사람이면 모를까
P1 	: 그건 느낌 없죠
P0 	: 그렇죠
P0 	: 아 이겼네
P0 	: 아 졌네
P0 	: 이정도 감흥만 있는지라
P1 	: 그 과정을 못본다는게 별로 안좋은거 같아요
P0 	: 그렇죠
P0 	: 어쨌거나 팬인데도
P0 	: 과정을 못보니
P1 	: 그 과정을 보기 위해 스포츠 보는거 아니겠습니까
P0 	: 그렇죠
