# FILE DATA
ID : MDRW2100045829
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 강원
device : 태블릿/패드
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 고기죠? 아침에는 고기죠!
P0 	: ㅋㅋㅋㅋㅋ모닝고기ㅋㅋㅋㅋ
P0 	: 놀랍게도 맞습니다! 고기가 들어가는 요리예요
P1 	: 돼지고기겠죠? 김치찌개일까요
P0 	: ㅎㄹ
P0 	: 헉
P0 	: 정답이예요ㅋㅋㅋㅋㅋㅋ
P0 	: 놀랍도록 빨리 맞추셨는데요..?
P0 	: 어떻게 맞추셨지
P1 	: 아 역시! 아침은 찌개에 먹어줘야해요!
P1 	: 제가 밥에 찌개 없으면 밥을 안 먹거든요 ㅋㅋ 완전 한국인
P0 	: ㅋㅋㅋㅌㅋㅋㅋ맞아요 완전 든든해요
P0 	: &name2&님 아침메뉴도 맞춰볼게요
P0 	: 매운 음식인가요?
P1 	: 저는 아침에는 속 편한걸 먹어요 아 죽은 아니에요
P0 	: 속 편한 거.. 야채가 많이 들어가나요?
P1 	: 아 파가 들어가요! 많이 넣을거에요
P0 	: 파가 많이 들어가는데 순한 음식인가요?
P0 	: 저언혀 안 매운거죠?
P1 	: 파가 들어가는거 좋아해서요. 후추 뿌리면 맵죠 하지만 이번에는 후추를 뿌리지 않을려고요
P0 	: 아앗 뭘까요
P0 	: 국물요리인가요?
P1 	: 네 고소하고 담백해요. 그리고 만두도 넣을거에요!
P1 	: 든든하죠?
P0 	: 담백하고 만두..?!
P0 	: 혹시 떡이 들어가나요?
P1 	: 아 들어가면 좋지만 어제 먹어버렸어요. 가래떡 치즈 올려서 구워먹으면 환상적이에요
P0 	: ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ맛있겠다 아쉽게도 떡이 아니군요
P1 	: 국물요리이고 만두가 들어가면 다들 이거네! 하시던데 ㅠㅠ
P0 	: 정말 단순하게
P0 	: 만둣국?!
P1 	: 네 계란 2개 풀어서 넣을거에요.
P1 	: 그리고 반찬은 게살 넣은 달걀찜!!
P0 	: 대박
P0 	: 게살 달걀찜이라니 엄청난 프리미엄 계란찜
P0 	: ㅋㅋㅋㅋ달걀파티를 열 계획이시군요
P0 	: 계란 좋아하세요?
P1 	: 아 그러게요 계란값이 금값인데 ㅠㅠ
P1 	: 아니요 뭐 만들어먹기 구ㅏ찮아서요
P0 	: ㅋㅋㅋㅋ계란은 진짜 만능이긴 해요
P0 	: 아무데나 일단 넣으면 훌륭해져욬ㅋㅋㅋㅋ
P1 	: 전 뭐 먹기 귀찮으면 계란샌드위치나 스크램블에 베이컨 먹었어요
P1 	: 메인은 크림스프 입니다!
