# FILE DATA
ID : MDRW2100047394
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 아까 아아메를 마셨어요 아직 습해서 아이스음료가 땡기네요
P1 	: 님은 뜨거운 아메파? 아아메파?
P0 	: 저는 아아메파요
P0 	: 아 한잔하고싶은데
P0 	: 딸이 안와요
P0 	: 딸이 잘내여요
P0 	: 려요
P0 	: 전 기계치라 잘못내려요 ㅋㅋ
P0 	: 맛이 틀려요
P0 	: 오늘 이디야 갈려고 했는데 아직도 못갔어요 ㅜㅜ
P1 	: 우와 저도 따님의 커피를 먹어보고 싶어요
P1 	: 어제 네이버 쇼핑  라이브에서 이디야 할인판매를 하던데 오늘도 하는지 모르겠네요
P0 	: 오 저는 쿠폰이 있어서
P0 	: 쓰려고 하는데
P0 	: 게을러서 못갔네요 ㅋㅋ
P1 	: 그럼 이미 싸게 드시는 거네요! 요즘 알뜰한 사람들은 다 카톡 상품권이나 전자상품권으로만 사머거요
P0 	: 맞아요
P0 	: 저도 햄버거 사놨어요
P0 	: 3200원에 세트
P1 	: 저도 그러고 싶은데 남 만나서 카페에 들어가자고 할때 그 자리서 쿠폰사기가 힘들어서 ㅠㅋㅋ
P0 	: 것도 먹어야 하는데 주말 노리게요
P1 	: 미리사드면 까먹고 날리기도 하구요
P1 	: 3200세트면 싸네요
P0 	: 맞아요
P0 	: 저도 날려 봤어요 ㅜㅜ
P0 	: 그래서 날짜보는 버릇이 생겼네요
P1 	: 전 저저번잘에 롯데리아 3번 세트 9900원? 쿠폰사서 잘 먹었어요
P0 	: 오늘은 아이오면 이디아에서
P0 	: 디저트 먹고 오게요
P0 	: 아
P0 	: 그거요
P1 	: 핸드혼에 알림설정을 두번은 해놔야돼요 전 한번울리면 금방 까머거여 ㅋㅋ
P0 	: 저도 사려고 망설였는데
P0 	: 맞아요
P0 	: 저도 알림 맨날 해놔요
P1 	: 우왜 디저트라니 부러워요 저희 어머닌 물마셔! 집에 맥모골있어! 파입니다
P0 	: 매시간 울려요 ㅋㅋ
P0 	: ㅋㅋ
P0 	: 엄마는 다그래요
P0 	: 제가 좋아해서 가는거죠
P1 	: 전 알림을 한번 해놨더니 아침에 보고 아 먹어야지 하고 오후에 홀라당 까먹었어요
P0 	: 맞아요
