# FILE DATA
ID : MDRW2100037512
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 제가 페퍼로니를 잘 모르긴해도 확실히 먹을때 맛이 다른거는 느껴지더라구요!!
P0 	: 페퍼로니는 어떤게 맛이있나요? 저도 잘 모르긴몰라도 먹을때마다 맛이 다르게느껴지긴 하더라구요
P1 	: 어...페퍼로니만 치면 전 피자헛 1순위요
P1 	: 팬피자 도우로 레귤러로 먹어야 해요! 꼭꼭
P1 	: 그리고 치즈 추가ㅎㅎ
P1 	: 피자헛 팬피자 마니아입니다ㅎㅎ
P0 	: 오 구체적이에요 ㅋㅋㅋㅋ 저는 피자헛 옛날에 1인피자 막 나왔을때 자주가고 그뒤로 먹은기억이 거의 없어요ㅠ
P0 	: 할인을 한다고 해도 요즘 피자가격이 기본적으로 되게 비싸더라구요!!
P1 	: 아 저 피자헛 딱 저 조합만 좋아해요ㅎ
P1 	: 맞아요
P1 	: 그냥 할인가가 정가같아요
P1 	: 아이스크림처럼
P0 	: 맞아요!!! 뭔가 그래서 어쨌든 덤탱이 쓰는느낌?
P0 	: 그럴바엔.. 고기를 먹자! 하고 치킨을 선택해요 ㅋㅋㅋ
P1 	: 내고왕에서 피자헛도 했었잖아요
P1 	: 원플원이라 두근거리며 들어갔더니 내가 알던 가격이 아니더라구요ㅎㅇ
P1 	: 일년내내 할인해서 할인가가 디폴트다 보니
P1 	: 정가로 원플원은 메리트가 그다지ㅎ
P0 	: 헐 . ... 양심불량
P0 	: 그날은 정가로 올린거에요?
P0 	: ㅡㅡ....
P0 	: 고객을 호구로 아나...
P1 	: 원래 원플원 행사하면 정가기준으로 하긴 해요
P1 	: 평소 할인보다 쪼오금 싸긴 합니다
P1 	: 근데 알면 그렇게 막 지름신이 안 오죠--
P1 	: 고구마피자 좋아하신댔는데 엣지 얘기하신거죠?
P1 	: 토핑 기준으론 어떤 피자 최애예요?
P0 	: 아니유!!! 고구마피자!
P1 	: 앗 토핑도 고구마인가요?
P0 	: 저는 피자를 자주 먹는 이유가 -> 피자스쿨이 가까이있다
P0 	: 피자스쿨이 없었으면 안먹었을거에요 ㅋㅋㅋㅋ
P0 	: 여기 고구마피자 맛있어요{emoji:♡}
P1 	: 아ㅎㅎ 피자스쿨에 고구마토핑 피자가 있군요!
P0 	: 네네ㅋㅋㅋㅋㅋ
P0 	: 고구마가 올라가있습니다
P0 	: 포테이토피자처럼요!!
P1 	: 오오ㅎㅎ 포테이토처럼 듬뿍요?
P0 	: 달콤함의 끝판왕이져....ㅋㅋㅋㅋㅋ
