# FILE DATA
ID : MDRW2100039440
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그래도 자기 일에는 충실한 가보구만
P0 	: 요즘 코로나땜에
P0 	: 마스크 쓰고 운동해서 그런가
P0 	: 나 저번에 운동하다 토할뻔했어
P1 	: 헐 산소부족해서?
P0 	: 응 진짜 산소부족해서
P0 	: 멀미오듯이
P0 	: 어질하더라
P1 	: 으윽 마스크도 위험하네
P0 	: 하체운동할때
P1 	: 나도 계단오를 때 마스크때문에 답답하긴 하더라
P1 	: 응
P0 	: 갑자기 뒷목이 뜨거워지면
P0 	: 조심해라
P1 	: 헐 왜
P1 	: 혈압오르는건가
P0 	: 하체가 근육이 커서
P0 	: 과부화되면 피가 너무 빨리돌아서
P0 	: 산소가 부족해져
P0 	: 그래서 어질어질~~웩 하는거지
P1 	: 헐 그렇구나.. 조심해야겠는걸
P1 	: 다행히 아직까진 멀쩡한데
P1 	: 무리하진 말아야겠어
P1 	: 산소부족은 아니고 둔근에 쥐난 적은 있는데 그것도 조심해야겠더라
P0 	: 헉 둔근에 쥐나면
P0 	: 어떻게 걷냐
P1 	: 못 걸어ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 다리는 금방 풀리는데
P1 	: 둔근은 근육이 커서 그런지 오래 가더라고
P0 	: 둔근 풀릴때까지 강제 착석이네
