# FILE DATA
ID : MDRW2100011254
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  직장>동기/동료/동업자
intimacy  :  3
contact_frequency  :  주 1~2회

P0 	: 비가 너무 많이와요 온니~
P0 	: 운전 조심해요ㅠ
P1 	: 비바람이네ㅜㅜ
P1 	: 남해쪽은 비안온데
P0 	: 비가 어마무시 하네여~
P0 	: 난 이런날씨 넘나 좋은데 ㅋㅋㅋㅋㅋㅋ
P0 	: 밖이 새까맣네요~
P1 	: 애들 다젖겠다ㅜㅜ
P1 	: 에휴
P0 	: 애들은 번개만 안치면 신날꺼예요 ㅋㅋㅋㅋ
P0 	: 첫찌 다른친구들 다 장화 신는다고 ㅋㅋㅋㅋ장화사달라고~
P0 	: 초딩은 장화 안신는줄 알았네요 ㅋㅋㅋ
P1 	: 우린 다 장화ㅋㅋ
P1 	: 지금비안오네ㅋㅋ
P0 	: 징짜여~장화 방금 샀는데 ㅋㅋㅋㅋㅋ
P0 	: 날씨 뭐 이러죠??ㅋㅋㅋㅋ
P1 	: 바람만분다
P1 	: 근데덥다이
P1 	: ㅡㅡ
P0 	: ㅋㅋㅋㅋㅋ그 후덥지근한 바람여~
P0 	: 실외기 바람같은거 ㅋㅋㅋㅋ
P0 	: 안그래도 창고에 있는데..문열리는소리나서 나왔디..
P0 	: 바람이 오셨네요 ㅋㅋㅋㅋ
P1 	: 바람ㅋㅋㅋ
P0 	: 오늘 손님 1도 없구만요 ㅋㅋㅋㅋ
P0 	: 여긴 날씨영향을 진짜 많이 받네여~
P1 	: 비와서 손님안오는갑네
P1 	: 푹쉬어라ㅋㅋㅋㅋ
P0 	: 오늘 4시까진데..쉬는데도 한계가 ㅋㅋㅋㅋ
P0 	: 늠나 지겹네요~자꾸 바람불어가 문은 열리고 ㅋㅋㅋㅋㅋ
P1 	: 오늘 4시까지가? 오래하노
P0 	: 화욜은 여기 언니가 다른데 알바해주는날이라ㅠ
P0 	: 화욜 4시까지 목욜 쉬고 이래 된거요~
P0 	: 목욜엔 비가 안와야 되는데 ㅋㅋㅋㅋㅋㅋ
P0 	: 소중한 휴무니 ㅋㅋㅋㅋ
P1 	: 그래 소중한휴무 목욜에 모디지ㅡ 나중에ㅋㅋㅋ
P1 	: 비안오드라
P1 	: 일기예보ㅋㅋ
P0 	: 정말여?? 예보는 근데..믿을수가 ㅋㅋㅋㅋㅋ
