# FILE DATA
ID : MDRW2100029032
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 영화같은거 좋아하세요?
P0 	: 저는 집에서 티비로 봐요!!
P0 	: 영화관은 요즘 무서워서 못가구 ㅜ
P1 	: 아하
P1 	: 최근에 뭐 보셨어요,
P0 	: 최근은 못봣어요 ㅠㅠ
P0 	: 모가지슈 보셧나요?
P1 	: 앗 아뇨ㅠㅠ 그거 보고싶었는데 시간이 안맞아소
P1 	: 서
P1 	: 싱크홀 봤어요! 재밌더라구요
P0 	: 우아 누구 나오는영화인가요?
P1 	: 이광수 씨랑 김성균 씨랑 차승원 씨요!
P1 	: 너무 재밌었어요 티비 플랫폼에 나오면 꼭 보세요
P0 	: 오오 차승원!!!!
P0 	: 다들 연기 잘하시져?
P1 	: 네네
P1 	: 이광수씨가 너어무 재밌었어요
P0 	: 저도 티비로 나오면 봐야겟어요 !!!
P0 	: 영화관 가서 보셧나요?
P1 	: 넵
P1 	: 근데 코로나때문에 팝콘을 못먹었어요ㅠ
P1 	: 모가디슈 재밌나요??
P0 	: 저 모가디슈도 못봣어요 ㅠㅠ 저빼고 다봣드라구요
P0 	: 볼게 엄청 많이 생겼어요 ㅋㅋ
P1 	: 그러게요ㅋㅋ
P1 	: 블랙위도우 보셨나요?
P1 	: 저 마블시리즈 처음 본건데 암것도 몰라두 재밌더라구요
P0 	: 우아 블랙위도우 ㅜㅜㅜ 이것도 못봣네요 ㅋㅋ
P0 	: 세가지 꼭 볼거예요 ㅠㅠ
P0 	: 저는 마블 다 보긴 했는데 기억이 가물가물 하네요
