# FILE DATA
ID : MDRW2100023687
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요! 스포츠 좋아하시나요?
P1 	: 안녕하세용! 스포츠는 관람하는거 좋아하고
P1 	: 제가 직접하는 운동은 수영해요!
P0 	: 우와 요즘도 수영하시나요?
P1 	: 수영 못한지가 되게 오래되었어요ㅠㅠㅠ
P1 	: 코로나때문에....
P0 	: 그죠ㅜㅜ 아예 개장을 안 하는건가요?
P1 	: 네네ㅜㅜ 집근처는 다 안해용ㅠㅠ
P1 	: 너무 슬프네요
P1 	: &name1&은 운동 뭐하세요?
P0 	: 그쵸ㅜㅜ 저는 운동 즐겨하는 편은 아니어서 그냥 집에서 홈트같은거만하고
P0 	: 요즘은 배구 보는 거 좋아해요~!
P1 	: 오 홈트면
P1 	: 티비로 영상 틀어두시고
P1 	: 따라하시나용?
P0 	: 네네! 티비나 노트북틀고 따라하는 편이에요!
P1 	: 저도 티비로 가끔 요가 따라하는데
P1 	: 요즘 집에서 운동하는 방법이 다양하다는걸 알았어요ㅋㅋㅋ
P1 	: 이번에
P1 	: 올림픽 밀린 영상
P1 	: 다 봤어요!
P0 	: 오 그죠! 저는 보는 것만 보긴 하는데 꽤 괜찮더라구요
P1 	: 근대5종 경기보면서 진짜 감탄했어요ㅠㅠ
P0 	: 앗 종목 상관없이 다 보신건가요?
P1 	: 다는 아니고
P1 	: 좋아하는 종목만 봤어요ㅋㅋ
P0 	: 아하 ㅋㅋㅋㅋ 어떤 종목 좋아하시나요!
P1 	: 수영이랑
P1 	: 근대5종이요!
P1 	: &name1&은요?
