# FILE DATA
ID : MDRW2100017958
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 왜냐면 스위니 토드 배경이 영국 기근때라서 먹을 게 없거든요. 그래서 시체 유기 방식이 그런거에요
P0 	: 그래서 어떻게 됐나요?
P0 	: 아
P0 	: 신기하다
P0 	: 시체를 파이로 만들었다면 그걸 누군가는 먹었겠네요
P1 	: 처음에만 살인이 어려웠지 그 뒤로 스위니 토드는 오는 손님 모두를 살해를 했고 여관의 주인은 그걸 항상 파이로 구워서 팔았어요. 대부분 마을 사람이 아닌 외지인만 죽였기 때문에 그렇죠
P0 	: 세상에
P0 	: 지속적 살인이 일어났군요
P1 	: 여기에도 로맨스가 있는데. 영주의 딸과 지나가던 나그네의 로맨스가 나와요. 아름다운 영주의 딸에게 반했다며 이발사를 찾아갔다가... 영주의 딸 이야기를 했더니 스위니 토드가 좋아하질 않아서 결국 이 남자는 죽고요
P1 	: 그 뒤에 영주가 한 번 찾아왔을 때 저지른 살인을 처음에 만난 노파가 목격을 해서 노파를 죽였는데. 노파의 몸에서...!
P0 	: 되게 많은 사람이 다양한 이유로 죽는군요
P0 	: 뭐가나왔죠
P1 	: 스위니 토드가 준 결혼 반지가 나오고
P0 	: 세상에
P0 	: (경악)
P1 	: 스위니 토드는 그 노파의 정체를 당연지사 알았음에도 불구하고 자신에게 말해주지 않은 여관 부인을 원망해요
P1 	: 작중에 여관 주인이 스위니 토드에게 반했다는 내용이 주기적으로 나오거든요
P0 	: 네네
P1 	: 여관 주인이 스위니 토드를 좋아해서 일부러 두 가지 사실을 숨겨요.
P1 	: 영주의 딸이 스위니 토드의 딸이라는 것
P0 	: 헐
P0 	: 대박
P1 	: 그리고 마을의 노파가 스위니 토드의 아내라는 걸
P0 	: 소오름
P0 	: 반전의 반전이네요
P1 	: 그래서 비극이 비극을 만들어서 모두 죽고 살아서 나간... 사람이 없는 극이네요
P0 	: 와 진짜 듣기만해도 오싹하고 흥미진진하네요
P0 	: 몰입력이 엄청나요
P1 	: 롯데월드쪽에 있는 뮤지엄에서 봤는데
P0 	: 보고나서 여운길게 남으셨겠다..
P1 	: 사실 거기스피커가 엄청나게 후지거든요. 처음 뮤지컬 듣는 저도 알정도로 빡쳤어요
P0 	: 음향 안좋으면 화나죠
P0 	: 뮤지컬은 8할이 음향인데
