# FILE DATA
ID : MDRW2100041221
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아니 해품달 당연히 봤죠..
P1 	: 한가인은.. 좀 별로였지만..
P1 	: 전 거기선 임시완이랑 여진구..
P1 	: 연기를 넘 잘하구 비주얼 좋아서요..!
P1 	: 여진구는 진짜 연기 잘하는거같아요
P0 	: 아 맞아요!!!!!!! 아역 연기로 내 맘 뺏어놓고 갑자기 한가인이 ㅇ.ㅇ 이런 눈으로 연기해서 좀 놀랐었어요
P1 	: 맞아요 토마스 기차 한번 본 후론..
P0 	: 아 그니까요 김소현 김유정 여진구 진지희!!! 다 황금 아역들이었던....!!!!!!!
P0 	: 임시완도 진짜 저 시집갈뻔
P1 	: 한가인 볼때마다 토마스 기차만 생각나고요 ㅠ
P0 	: 아놔 토마스 기차 진짜 닮..앗..네..요.......
P1 	: 저도요 임시완 진짜 그때 망한 아이돌도 다시 들춰봐여된다고
P1 	: 막 그랬던거 생각나요 ㅋㅋㅋㅋㅋㅋ
P1 	: 아니 임시완 하니 전 박형식도 진짜 좋았어요
P1 	: 상속자들에서도 좋었고
P1 	: 박보영이랑 나온거에서 진짜 좋아했어요
P1 	: 도봉순인가?
P0 	: 아 아 그거 진짜 드라마 넘 규ㅣ엽고 재밌었어요
P0 	: 사실 드라마가 아니라 박보영이 귀여웠던 거일 수도....
P0 	: 박형식 상속자에서 진짜 귀엽게 나왔잖아요!
P0 	: 조명수였나
P1 	: 맞아요 조명수..!!
P1 	: 저 크리스탈 진짜 좋아해ㅛ어요 상속자들에서는..
P1 	: 박신혜의 오글거림을 이겨버리는 크리스탈의 발랄함...ㅠ
P0 	: 아 그르니까요!!!!! 탄이 피해다니는 크리스탈 넘 귀여웠다고욧...
P0 	: 전 그 유라헬도 좋아했어요 ㅠ.^
P0 	: 솔직히 넘넘 불쌍한.. 금잔디 괴롭히는 애들이 비하면
P0 	: 진짜 천사인..
P1 	: 유라헬은 긍구 먼가 이유가 있지않나요? ㅠㅠ
P1 	: 라헬이도 어케보면 냠 불쌍했어요
P1 	: 갑자기 탄이아빠랑 라헬 엄마랑 재혼하구 그러지아노았나요?
P1 	: 김지원 연기보는 맛이 진짜 쩔었어요
P0 	: 그그
P0 	: 영도아빠랑 라헬엄마요!!
P0 	: 글도 라헬 입장에서는 -.- 은상이 나븐 거잖아요
P0 	: 갑자기 약혼자 뺏겨버린...
P0 	: 어이 없을 무
P1 	: 맞아요 ㅠㅜ 나름 이해관계로 얽힌 약혼자지만
P1 	: 정도있었울텐데
P1 	: 글고 약간 자리뺏긴 그런 느낌이자나요
P0 	: 그니까요 게다가 지나가는 애들이... 뭣도 모르고 약혼자 뺏겼다고 수근댄다?
P0 	: 전 진작에 탄이 엉덩이 한 대 차버렸을 굿 같아요
