# FILE DATA
ID : MDRW2100009957
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하송요~~
P0 	: 오늘도 날씨가 흐리네요
P1 	: 안녕하세요 ㅎㅎ 이번주 내내 비온대요.
P1 	: 나름 운치 있어서 좋은거 같아요.
P1 	: 혹시 그쪽 지역에도 비가 내리나요?
P0 	: 아니요~ 여긴 비는 오지않고 약간 흐려요
P0 	: 이제 진짜 가을인가봐요~~
P1 	: 역시 입추 매직
P0 	: 비 오는김에 미세먼지가 많이 씻겨나가면 좋겠어요 ㅎㅎ
P1 	: 솔직히 개강해도 더울 거 같았거든요.
P1 	: 헙 미세미세 안보고 살았는데 요즘에도 미세먼지가 심했나요?
P0 	: 음 요근래는 보통~좋음이었던걸로 기억해요 며칠 소나기가 내려 그랬나봐요!
P0 	: 어떤 계절을 좋아하세요??
P1 	: 저는 더위를 많이타서 겨울이 좋더라구요-!
P1 	: 송이 송이 눈송이 ~ 눈내리는 것도 너무 좋아요.
P0 	: 오 저도 약간 추운게 좋아요 ㅎㅎ 겨울하면 눈송이죠~~
P0 	: 코로나 전에는 너무 추운날 얼굴이 찢어질거같아서 싫었는데
P0 	: 요즘은 마스크가 얼굴을 가려주니 겨울도 뭐 견딜만 하네요..
P1 	: 오 추위 많이 타시나봐요! 저는 추위를 많이 안타서 그런지 폐속까지 차가워지는 찬공기가 그리울 때가 있어요.
P1 	: 마스크 덕분에 얼굴은 따뜻하지만
P1 	: 가끔 그리운 그 공기-{emoji:☆}
P0 	: 오오,,, 건강하시네요(?)ㅋㅋㅋㅋㅋ 폐속까지 차가우면 저는 좀 아플거같아요 ㅋㅋㅋㅋㅋㅋ
P0 	: 코로나가 종식되는 날이 오긴 할까요..
P0 	: 마스크 없이 가을 냄새 맡고싶네요~~
P1 	: 절대 그 이전의 삶으로 못돌아 갈거 같아요
P1 	: 혹시 계절 냄새 아세요??
P1 	: 환절기가 되면 계절이 바뀌는 향기가 느껴지더라구요
P0 	: 알죠알죠.. 그 냄새가 느껴지면 진짜 날씨가 바뀌더라구요 ㅎㅎ
P0 	: 비온 뒤 다음날 흙냄새랑 눈오는 날 냄새도 좋아해요
P1 	: 저도요. 전 흙냄새 너무 좋아해서 화분에 물 줄 때가 좋더라구요.
P1 	: 하지만 베스트는 비온 뒤 흙냄새
P0 	: 맞아요 흙냄새가 짱이에요 ㅎㅎ 저는 일부러 비 온 다음날 남산 산책가요!! 충전 제대로 하는 기분이에요
P0 	: 대신 계단에 지렁이들이 많이 보인답니다,,
P1 	: 오! 빗길이 조금 미끄럽진 않나요? 남산은 어떤 날씨에 가던 좋은거 같아요.
P1 	: 지렁이라니 귀여워요!!
P0 	: 포장이 잘 되어있어서 그런지 미끄럽진 않아요 ㅋㅋ
P0 	: 저는 비온 다음날 달팽이도 봤어요 ㅋㅋㅋㅋ
P0 	: 사진은 못보여드리네요,,
P0 	: 작고 귀여웠어요
P1 	: 앗 아쉬워요!
P1 	: 좋아요!
