# FILE DATA
ID : MDRW2100014118
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋ고구마는 사랑입니다
P0 	: 고구마 미워요
P0 	: 감자도 사랑이거든요? 참나
P1 	: 해외 나가보셨어요?
P0 	: 초1때 가봤습니다 약 한달
P1 	: 어학연수군요ㅋㅋㅋ
P1 	: 어디로갔어요?
P0 	: 아뇨 ㅋㅋㅋ가족여행이요
P1 	: 와 한달을 ㄷㄷ
P0 	: 캐나다 멕시코 엿나
P0 	: 목적지가 과테말라인데 미국비자가 안나서 경유해서갔어요
P1 	: 커피보러 갔나요?
P0 	: 과테말라에서 먹었던 사탕이 그렇게맛있었는데
P0 	: 아뇨 ㅋㅋㅋㅋ거기 친척이살아서 놀러갈겸 갔어요
P0 	: 엄마말로는 이민생각하고 가보자고해서 간건데
P0 	: 총기소유국가라 무서워서 못살거같다고 ㅋㅋㅋㅋㅋ 그래서 쭉 한국에ㅓ서 삽니다
P1 	: 오우 대단하시네요
P1 	: 이민 생각을
P0 	: 친척이 과테말라에서 큰사업을해가지고 완전잘됐거든요 ㅎ
P1 	: 커피!?
P0 	: 지금도 대한민국 대표시민이더라구여
P1 	: 와
P0 	: 아뇨 옷장사요 ㅋㅋㅋ 지금은 식당도 해요
P1 	: 대단하시네요
P0 	: 식모도있고 운전기사도 있어서 진짜 호화스럽게 놀다왔어요
P1 	: 물가 차이가 참ㅎㅎ 어찌보면 신기해요
P1 	: 같은 돈인데 다른 값어치니
P1 	: 암튼 거기서 감자나 고구마 드셔보셨어요?
P1 	: 이거 물어볼려고 했던건데
P0 	: 아 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 서두가 길었네요^^
P0 	: 그냥 직구로 물어보시지
P1 	: 그러게요 의도하지 않았는데ㅋㅋㅋ
P0 	: 거기서는 망고만 오질나게 먹고왔어요
P0 	: 아보카도랑
P0 	: 그래서 제가 아보카도를 안먹어요
P1 	: 아보카도가 환경 파괴범이던데요
P1 	: 한 알맹이가 물을 65리터 마신댔나...
P1 	: 전 그래서 안 사먹습니다
P1 	: 맞네 멕시코 아보카도로 돈벌죠
P0 	: 네? 와 이거 물돼지였구나
P1 	: 네.. 환경 작살내더라구요
P1 	: 아보카도 농장 10년만 지나도 주변 다 가물어요
P1 	: 뭐 제가 안 먹는다해도 크게 바뀔건 없겠지만
P0 	: 물을엄청먹네요 몰랐다
P0 	: 하지만 타코먹으려면 과카몰리가 필수인걸요
P1 	: 아 그 네모네모하게 썰어서 올리는
P0 	: 아뇨 과카몰리는 다진다고해야하나
P0 	: 짓이긴다고 해야할까요
P1 	: 아?! 그 초록색 소스?
P0 	: 으깬다가 맞네요
P1 	: 였나 그건가보네요
P0 	: 도미노 포장예약해놨는데 타코도 먹고싶네요 환장
