# FILE DATA
ID : MDRW2100042344
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 백신맞고 좀 푹ㄱ쉬어야할텐디
P0 	: 토요일에 푹쉬시옹
P1 	: ㅇㅇ
P1 	: 일요일까지만안아프면어떻게든될듯
P1 	: 일요일에내려가서짐정리해야하는데아프면개곤란...
P0 	: 아닐거여
P0 	: 맞기전에고기머겅
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 고기....고기조아....
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅇㅇㅇㅇ
P0 	: 전 닭고기쌀국수머거써욥
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 점심맛난거먹어야지....
P1 	: 순댓국먹어야지....
P0 	: ㅋㅋㅋㅋㅋㅋㅋㄱ
P0 	: 순댓국
P0 	: 좋아
P0 	: 이런날 순대국
P0 	: 굿굿
P1 	: ㅋㅋㅋㅋ날이추워지니
P1 	: 국물있는거
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅇㅇㅇㅇ
P0 	: 건강챙기려면
P0 	: 든든히먹어야디
P0 	: 근데 다음날은 뭐 못먹겠더라
P1 	: ㅋㅋㅋ담날응걍자기바쁠거같음
P1 	: 1차때도그랬어서
P0 	: 주변친구드르ㅡㄴ
P0 	: 다썩안아팠다고하는데
P0 	: 괜찮으셔야할거같은데
P1 	: ㅇㅇ
P1 	: 약간복불복인거같아섴ㅋㅋㅋㅋ
P1 	: 잘지나가길바래야지...
P0 	: ㅇㅇㅇㅇ
P0 	: 조심해야대
