# FILE DATA
ID : MDRW2100039525
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저는 요즘 자취하고 싶어요
P1 	: 헛 저도 꿈꾸고 있습니다
P1 	: 돈만 있다면...
P1 	: 만약 한다면 혼자 살고 싶으신가요
P0 	: 네 당연!!!
P0 	: &name2&님은요?
P1 	: 전 약간 친구랑 동거 하고 싶은데
P1 	: 그렇게 잘 맞는 친구를 찾을수 있을까 싶어요 ㅠ
P0 	: 엥
P0 	: 혼자 사는거 안좋아하세요?
P1 	: 혼자 살아본 적이 없어서 살짝 겁나요
P1 	: 외로울 것 같기도 하고
P1 	: 친구 둘이서 재밌게 사는 거 보면 살짝 부럽기도 하구요
P0 	: 오 아무리 친해도 같이살면 싸운대요ㅠㅠ
P0 	: 전 혼자 사는게 꿈이에요..
P0 	: ㅎㅎ
P1 	: 다들 그렇게 말하긴 하죠..ㅠㅠ
P1 	: 혹시 기숙사 생활 그런건 해본적 있으세요?
P0 	: 아니요 그냥 일년 자취한적은 있는데
P0 	: 다시 돌아오니 그리워요ㅜㅜ
P0 	: 맞는 친구있우면 정말 좋긴할텐데
P1 	: 그런 친구는 정말..한명만 있어도 인생 성공한 것 같아요
P1 	: 일년 자취하셨었어요?
P1 	: 원래 한번 맛보면 더 그리운 법인데 ㅠ
P0 	: 그니까요..
P0 	: 그래서 더 자취하고 싶은가봐요
P0 	: 자취하다 같이 있으니 싸움도 잦고..
P1 	: 아구..주로 어떤 것 때문에 부딪히시나요?
P0 	: 아무래도 집안일..ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅠㅠ
P1 	: 아,.약간 가사 분담 그런걸루요?
P1 	: 혼자 자유롭게 하다가 맞춰야 될 규칙들이 생겨서 스트레스 받을것 같긴 하네요..ㅎㅎㅠ
P0 	: 마자요 그런것때문에 자꾸 부딪혀요ㅠㅠ
