# FILE DATA
ID : MDRW2100040873
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 답장이 없어서 언니 잠들었나보다 했는데 또 나쁜말이라고 잘렸어
P1 	: ㅋㅋㅋㅋ난너가 잠들줄알앗어 ㅋ
P1 	: ㅋㅋㅋ딴사람이랑 보쌈족발얘기해서
P1 	: 배고팡 ㅜㅠㅋㅋㅋ
P0 	: ㅋㅋㅋ족발은 진짜 맛있게 먹어본 기억이 잘없어ㅋㅋㅋ모자라게 먹어야하나
P1 	: ㅋㅋ족발 넘비싸 !!!
P1 	: 아버지표 수육먹음되!!!
P0 	: ㅋㅋㅋ족발은 껍질이 쫄깃하지않나요?
P1 	: 아 그렇긴하지만
P1 	: ㅎㅎㅎㅎ
P1 	: 엄마가 흑돼지 족시켜서 족발햇는데
P1 	: 족발집하는아저씨가 씨육수?를 가져왔데
P1 	: 그래서 그걸 좀 넣고 뭐만들고
P1 	: 또둿다가 쓰고 쓰고햇데
P1 	: 다리가 하나에 5처넌이엿나
P0 	: 우왕ㅋㅋㅋㅋ대박이다....
P1 	: 그 육수만드는법은 안알려주더래 ㅋㅋㅋㅋ
P0 	: 흑돼지 족.발 더 맛있을듯
P1 	: 직접가져왓데 ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ가게영업비밀
P1 	: 근데 그아저씨 가게닫앗다
P1 	: 그래서 옆에 중국집에선가 일한다햇으
P0 	: 헉 ㅠㅠㅠ 코로나때문에 ?
P1 	: 그전에전에
P0 	: ㅠㅠ탕수육잘하실듯
P1 	: 뭐에 빠져서
P1 	: 가게도 열다 안열다 하다
P1 	: 결국 지지 ㅜ
P1 	: 탕수육하니깐
P1 	: 또 알짬뽕먹고싶다
P1 	: 쌀씻어야뷰
P1 	: 쥬
