# FILE DATA
ID : MDRW2100041871
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 그래도 항생제는 안주듸라 ㅇ
P0 	: 그러게유 진짜 난감
P0 	: &name3&이도 그때 비염알러지였더라구요
P0 	: 아 심하지 않은가봐요
P1 	: 어 약도 먹다안먹다가 해도된데
P1 	: 심할때만 먹이라네
P0 	: 아~ 그정도면
P0 	: 약하네요 완전 ㅋㅋ
P0 	: 다행
P1 	: 니 진짜 대단하다ㅋㅋ
P1 	: 그게가능하군ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ얍얍
P0 	: 내일 언니 몇시쯤 와요?
P1 	: 일단 2시안에는 가도록노력하께ㅋㅋ
P1 	: ㅋㅋㅋㅋ
P1 	: 지금 밥하고있다 오늘 분식
P0 	: 2시안에는 와요 ㅋㅋ
P0 	: 2시안에는 커피 다 마셨을것같아요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 분식 좋아요 ㅋ
P1 	: 헉 그래?ㅋㅋ 난 이제육퇴했다
P1 	: 씻으러가야겧으
P1 	: ㅋㅋ
P1 	: 낼 일안하는것으로좋다
P0 	: 와 대박 너무좋네요ㅋ
P0 	: 저는 지금 책읽어주고
P0 	: 이제누워요ㅋ
P1 	: 책 읽어주는 엄마 좋다ㅎㅎ
P0 	: 얍얍ㅋㅋㄲ노력합니다ㅋ
P0 	: 재우고올게유ㅋ
P1 	: 그래ㅋㅋ
